int	string
屏蔽字的ID	内容
id	text
1000	shit
1001	fuck
1002	moron
1003	whore
1004	prostitute
1005	bastard
1006	bitch
1007	fucker
1008	gm
1009	g.m
1010	g,m
1011	g^m
1012	g~m
1013	g`m
1014	g*m
1015	g&m
1016	g1m
1017	g2m
1018	g3m
1019	g#m
1020	g%m
1021	g=m
1022	g-m
1023	g_m
1024	g\m
1025	g|m
1026	g+m
1027	g/m
1028	g>m
1029	g<m
1030	wl
1031	gzm
1032	gqm
1033	ghm
1034	ｇｍ
1035	ｇ.ｍ
1036	ｇ,ｍ
1037	ｇ^ｍ
1038	ｇ~ｍ
1039	ｇ\ｍ
1040	ｇ|ｍ
1041	ｇ&ｍ
1042	ｇ@ｍ
1043	ｇ#ｍ
1044	ｇ$ｍ
1045	ｇ%ｍ
1046	ｇ*ｍ
1047	ｇ(ｍ
1048	ｇ)ｍ
1049	ｇ1ｍ
1050	ｇ2ｍ
1051	ｇ3ｍ
1052	ｇ=ｍ
1053	ｇ_ｍ
1054	ｇ+ｍ
1055	ｇ<ｍ
1056	ｇ>ｍ
1057	ｇ/ｍ
1058	ｇ?ｍ
1059	ｇ4ｍ
1060	ｇ5ｍ
1061	ｇ6ｍ
1062	ｇ7ｍ
1063	ｇ8ｍ
1064	ｇ9ｍ
1065	ｇ0ｍ
1066	ｇ`ｍ
1067	ｇzｍ
1068	ｇqｍ
1069	ｇhｍ
1070	gm
1071	ｃｍ
1072	ｃ.ｍ
1073	ｃ,ｍ
1074	ｃ^ｍ
1075	ｃ~ｍ
1076	ｃ\ｍ
1077	ｃ|ｍ
1078	ｃ&ｍ
1079	ｃ@ｍ
1080	ｃ#ｍ
1081	ｃ$ｍ
1082	ｃ%ｍ
1083	ｃ*ｍ
1084	ｃ(ｍ
1085	ｃ)ｍ
1086	ｃ1ｍ
1087	ｃ2ｍ
1088	ｃ3ｍ
1089	ｃ=ｍ
1090	ｃ_ｍ
1091	ｃ+ｍ
1092	ｃ<ｍ
1093	ｃ>ｍ
1094	ｃ/ｍ
1095	ｃ?ｍ
1096	ｃ4ｍ
1097	ｃ5ｍ
1098	ｃ6ｍ
1099	ｃ7ｍ
1100	ｃ8ｍ
1101	ｃ9ｍ
1102	ｃ0ｍ
1103	ｃ`ｍ
1104	ｃzｍ
1105	ｃqｍ
1106	ｃhｍ
1107	c^m
1108	c~m
1109	c`m
1110	c*m
1111	c&m
1112	c1m
1113	c2m
1114	c3m
1115	c#m
1116	c%m
1117	c=m
1118	c-m
1119	c_m
1120	c\m
1121	c|m
1122	c+m
1123	c/m
1124	c>m
1125	c<m
1126	idiot
1127	noob
1128	fucking
1129	asshole
1130	faggot
1131	suck
1132	fuck
1133	bitch
1134	cunt
1135	dildo
1136	penis
1137	blow
1138	whore
1139	nigger
1140	nigga
1141	screw
1142	dick
1143	ass
1144	motherfucker
1145	wodgm
1146	gamemaster
1147	f-u-c-k
1148	gm-tutu
1149	gm-roger
1150	gm-ven
1151	gm-vivi
1152	gm-runa
1153	gm-sophie
1154	gm-007
1155	gm-karl
1156	gm-sino
1157	gm-sean
1158	tagalog
1159	tae
1160	kantot
1161	puki ng ina mo
1162	putang ina mo
1163	puta
1164	pokpok
1165	anak ka ng puta
1166	bakla/bading
1167	titi
1168	puke
1169	bilat sinimo
1170	tangina mo
1171	tang ina mo
1172	teana mo
1173	t@ng ina
1174	puki
1175	putanginamo
1176	pota
1177	binibrocha
1178	tamod
1179	magkantutan
1180	suso
1181	pakshet
1182	pokpok
1183	puke nang ina
1184	puta ka
1185	tanga
1186	gago
1187	tplceo
1188	www
