int	string	string	int	DTVector2	int	int	int	int	int	int	int	int	int	int	int64	int	DTItemNum[]	int	int	int	int
街道ID	街道名称	街道名称-英文	城市占有率	地图坐标	代言人性别0=不做要求1101=女1102=男	代言人0=不做要求1201=美国1202=欧洲1203=亚洲	代言人类型0=不做要求1401=演技派1402=偶像派	代言人年龄0=不做要求1501=青春型1502=成熟型	代言人场面0=不做要求	代言人表演0=不做要求	代言人剧情0=不做要求	代言人艺术0=不做要求	代言人娱乐0=不做要求	宣传一次进度	宣传一次花费美元	宣传一次奖励金币	宣传完成奖励	期待值	前置街道0表示没有前置街道	下一个街道	所属城市
id	zh_cn_name	en_name	city_schedule	position	spokesperson_sex	spokesperson_Continents	spokesperson_type	spokesperson_age	spokesperson_scene	spokesperson_performance	spokesperson_plot	spokesperson_art	spokesperson_entertainment	publicize_schedule	publicize_cost	once_reward	finale_reward	expect	pre_id	next_stage	city
11001	星光大道	Walk of Fame	34	0.2;0.2	0	0	0	0	1	0	0	0	0	17	500	30	1:5;9001:1;5005:10	5	0	11002	1101
11002	环球影城	Universal Studios HW	34	0.3;0.9	0	0	0	0	0	2	0	0	0	13	600	30	1:5;9001:1;5005:10	5	11001	11003	1101
11003	盖蒂中心	The Getty Center	34	0.6;0.65	0	0	0	0	0	0	3	0	0	10	700	30	1:5;9001:1;5005:10	5	11002	11004	1101
11004	时代广场	Times Square	25	0.2;0.2	0	0	0	0	6	0	0	0	0	17	800	30	1:5;9001:1;5005:11	5	11003	11005	1102
11005	自由女神像	Statue of Liberty	25	0.2;0.8	0	0	0	0	0	0	8	0	0	13	900	30	1:5;9001:1;5005:11	5	11004	11006	1102
11006	中央公园	Central Park	25	0.7;0.3	0	0	0	0	0	0	6	0	0	10	1000	30	1:5;9001:1;5005:11	5	11005	11007	1102
11007	大都会博物馆	Metropolitan Museum	25	0.6;0.9	0	0	0	0	0	0	9	0	0	10	1100	30	1:5;9001:1;5005:11	5	11006	11008	1102
11008	国会山	Capitol Hill	25	0.2;0.2	0	0	0	0	13	0	0	0	0	17	1200	50	1:5;9001:1;5005:12	5	11007	11009	1103
11009	国家广场	National Mall	25	0.2;0.8	0	0	0	0	11	0	0	0	0	13	1300	50	1:5;9001:1;5005:12	5	11008	11010	1103
11010	林肯纪念堂	Lincoln Memorial	25	0.7;0.3	0	0	0	0	10	0	0	0	0	10	1400	50	1:5;9001:1;5005:12	5	11009	11011	1103
11011	航天博物馆	Space Museum	25	0.6;0.9	0	0	0	0	0	13	0	0	0	10	1500	50	1:5;9001:1;5005:12	5	11010	11012	1103
11012	芝加哥艺术馆	Art Institute	25	0.2;0.2	0	0	0	0	16	0	0	0	0	17	1750	50	1:5;9001:1;5005:13	5	11011	11013	1104
11013	千禧公园	Millennium Park	25	0.2;0.8	0	0	0	0	0	0	15	0	0	13	2020	50	1:5;9001:1;5005:13	5	11012	11014	1104
11014	威利斯大厦	Willis Tower	25	0.7;0.3	0	0	0	0	17	0	0	0	0	10	2310	50	1:5;9001:1;5005:13	5	11013	11015	1104
11015	海军码头公园	Navy Pier Park	25	0.6;0.9	0	0	0	0	0	16	0	0	0	10	2500	50	1:5;9001:1;5005:13	5	11014	11016	1104
11016	太空中心	Space Center Houston	25	0.2;0.2	0	0	0	0	0	0	23	0	0	17	2600	80	1:5;9001:1;5005:14	5	11015	11017	1105
11017	莱斯大学	Rice University	25	0.2;0.8	0	0	0	0	0	0	21	0	0	13	2800	80	1:5;9001:1;5005:14	5	11016	11018	1105
11018	赫曼公园	Hermann Park	25	0.7;0.3	0	0	0	0	0	0	23	0	0	10	3000	80	1:5;9001:1;5005:14	5	11017	11019	1105
11019	美术馆	Art Museum Houston	25	0.6;0.9	0	0	0	0	0	24	0	0	0	10	3500	80	1:5;9001:1;5005:14	5	11018	11020	1105
