int	string
ID|n|星级*10000+助理类型*1000+等级	助理英文名字
id	name
13011000	PR Assistant
13011001	PR Assistant
13011002	PR Assistant
13011003	PR Assistant
13011004	PR Assistant
13011005	PR Assistant
13011006	PR Assistant
13011007	PR Assistant
13011008	PR Assistant
13011009	PR Assistant
13011010	PR Assistant
13011011	PR Assistant
13011012	PR Assistant
13011013	PR Assistant
13011014	PR Assistant
13011015	PR Assistant
13011016	PR Assistant
13011017	PR Assistant
13011018	PR Assistant
13011019	PR Assistant
13011020	PR Assistant
13011021	PR Assistant
13011022	PR Assistant
13011023	PR Assistant
13011024	PR Assistant
13011025	PR Assistant
13011026	PR Assistant
13011027	PR Assistant
13011028	PR Assistant
13011029	PR Assistant
13011030	PR Assistant
13011031	PR Assistant
13011032	PR Assistant
13011033	PR Assistant
13011034	PR Assistant
13011035	PR Assistant
13011036	PR Assistant
13011037	PR Assistant
13011038	PR Assistant
13011039	PR Assistant
13011040	PR Assistant
13011041	PR Assistant
13011042	PR Assistant
13011043	PR Assistant
13011044	PR Assistant
13011045	PR Assistant
13011046	PR Assistant
13011047	PR Assistant
13011048	PR Assistant
13011049	PR Assistant
13011050	PR Assistant
13011051	PR Assistant
13011052	PR Assistant
13011053	PR Assistant
13011054	PR Assistant
13011055	PR Assistant
13011056	PR Assistant
13011057	PR Assistant
13011058	PR Assistant
13011059	PR Assistant
13011060	PR Assistant
13011061	PR Assistant
13011062	PR Assistant
13011063	PR Assistant
13011064	PR Assistant
13011065	PR Assistant
13011066	PR Assistant
13011067	PR Assistant
13011068	PR Assistant
13011069	PR Assistant
13011070	PR Assistant
13011071	PR Assistant
13011072	PR Assistant
13011073	PR Assistant
13011074	PR Assistant
13011075	PR Assistant
13011076	PR Assistant
13011077	PR Assistant
13011078	PR Assistant
13011079	PR Assistant
13011080	PR Assistant
13011081	PR Assistant
13011082	PR Assistant
13011083	PR Assistant
13011084	PR Assistant
13011085	PR Assistant
13011086	PR Assistant
13011087	PR Assistant
13011088	PR Assistant
13011089	PR Assistant
13011090	PR Assistant
13011091	PR Assistant
13011092	PR Assistant
13011093	PR Assistant
13011094	PR Assistant
13011095	PR Assistant
13011096	PR Assistant
13011097	PR Assistant
13011098	PR Assistant
13011099	PR Assistant
13011100	PR Assistant
13012000	Stylist
13012001	Stylist
13012002	Stylist
13012003	Stylist
13012004	Stylist
13012005	Stylist
13012006	Stylist
13012007	Stylist
13012008	Stylist
13012009	Stylist
13012010	Stylist
13012011	Stylist
13012012	Stylist
13012013	Stylist
13012014	Stylist
13012015	Stylist
13012016	Stylist
13012017	Stylist
13012018	Stylist
13012019	Stylist
13012020	Stylist
13012021	Stylist
13012022	Stylist
13012023	Stylist
13012024	Stylist
13012025	Stylist
13012026	Stylist
13012027	Stylist
13012028	Stylist
13012029	Stylist
13012030	Stylist
13012031	Stylist
13012032	Stylist
13012033	Stylist
13012034	Stylist
13012035	Stylist
13012036	Stylist
13012037	Stylist
13012038	Stylist
13012039	Stylist
13012040	Stylist
13012041	Stylist
13012042	Stylist
13012043	Stylist
13012044	Stylist
13012045	Stylist
13012046	Stylist
13012047	Stylist
13012048	Stylist
13012049	Stylist
13012050	Stylist
13012051	Stylist
13012052	Stylist
13012053	Stylist
13012054	Stylist
13012055	Stylist
13012056	Stylist
13012057	Stylist
13012058	Stylist
13012059	Stylist
13012060	Stylist
13012061	Stylist
13012062	Stylist
13012063	Stylist
13012064	Stylist
13012065	Stylist
13012066	Stylist
13012067	Stylist
13012068	Stylist
13012069	Stylist
13012070	Stylist
13012071	Stylist
13012072	Stylist
13012073	Stylist
13012074	Stylist
13012075	Stylist
13012076	Stylist
13012077	Stylist
13012078	Stylist
13012079	Stylist
13012080	Stylist
13012081	Stylist
13012082	Stylist
13012083	Stylist
13012084	Stylist
13012085	Stylist
13012086	Stylist
13012087	Stylist
13012088	Stylist
13012089	Stylist
13012090	Stylist
13012091	Stylist
13012092	Stylist
13012093	Stylist
13012094	Stylist
13012095	Stylist
13012096	Stylist
13012097	Stylist
13012098	Stylist
13012099	Stylist
13012100	Stylist
13013000	Personal Assistant
13013001	Personal Assistant
13013002	Personal Assistant
13013003	Personal Assistant
13013004	Personal Assistant
13013005	Personal Assistant
13013006	Personal Assistant
13013007	Personal Assistant
13013008	Personal Assistant
13013009	Personal Assistant
13013010	Personal Assistant
13013011	Personal Assistant
13013012	Personal Assistant
13013013	Personal Assistant
13013014	Personal Assistant
13013015	Personal Assistant
13013016	Personal Assistant
13013017	Personal Assistant
13013018	Personal Assistant
13013019	Personal Assistant
13013020	Personal Assistant
13013021	Personal Assistant
13013022	Personal Assistant
13013023	Personal Assistant
13013024	Personal Assistant
13013025	Personal Assistant
13013026	Personal Assistant
13013027	Personal Assistant
13013028	Personal Assistant
13013029	Personal Assistant
13013030	Personal Assistant
13013031	Personal Assistant
13013032	Personal Assistant
13013033	Personal Assistant
13013034	Personal Assistant
13013035	Personal Assistant
13013036	Personal Assistant
13013037	Personal Assistant
13013038	Personal Assistant
13013039	Personal Assistant
13013040	Personal Assistant
13013041	Personal Assistant
