int	string	string	string
id|n|剧情组*100+顺序	界面内容|n|{name}主角名字	气泡内容|n|{city}=占领城市|n|{name}=玩家名称	半身像名字|n|{name}=玩家名称|n|{actor}=初始艺人名称
id	ui_content	content	name
100101		Oh, there you are! This is the cinema you told me to purchase. We're ready to open for business! Looks like you're pretty serious about this.	Bonita
100102	Bonita Fernandez|n|A producer you worked with several times during your acting career. Tired of the film industry, she decided to join you when you raised the idea of changing the rules of the movie business.		Bonita
100103		Ha ha, of course. How are our preparations going?	{name}
100104		The cinema's equipment are all still in working condition. We just have to tidy it up a little. Then it's just a matter of when you want to officially open!	Bonita
100105		Thank you for your hard work. Let's begin!	{name}
100106		That's what I want to hear!	Bonita
100201		There is one problem though. Megastar Films knows about this cinema. They're already pressuring all the distributors they work with to refuse to send us any films to screen.	Bonita
100202		Don't worry. If that's the case, then we'll just have to make our own movies! Soon they'll be begging us to let them screen our films. It's a good thing I saved a lot of money from when I was an actor. Let's get to work!	{name}
100203		That's the spirit! This is why I chose to join you. Let's start building our Cinema!	Bonita
100204		I'll leave planning the Cinema to you. I'll take care of looking for actors.	{name}
100205		Now that you mention it, I'm sure Megastar Films has also banned all their actors from working with us.	Bonita
100206		That won't be a problem. I've been an actor for a long time after all. Trust me, once we have our first actor, many more will follow!	{name}
100301		May I present… our first actor!	{name}
100302		Wow, you sure are capable, aren't you? Hm… Looks like quite the professional. I surely hope you're as good as you look. Alright, let's build our Cinema now!	Bonita
100401	Word is that {name} is officially in the movie industry!		
100402		I've also contacted some investors. They're interested in your new business, so they made an investment.	Bonita
100403		Ha, they won't be disappointed.	{name}
100404		The investors said they would consider making additional investments depending on our progress. I'll remind you again when the time comes!	Bonita
100405		Thanks! You're so dependable.	{name}
100406		Well, I'm just doing my job.	Bonita
100407		Alright! Let's start on our first movie! We'll defeat Megastar Films sooner or later!	{name}
100408		Wow, hold your horse, cowboy~ We still need to build a Filming Studio before we can start shooting movies.	Bonita
100501		Okay, we have our actors and our studio. Let's begin shooting!	Bonita
100601		All of these seem pretty good. What do you think?	{name}
100602		Different screenplays attract different audiences. We have to look at what the market's like before we make a decision.	Bonita
100603		However, we don't have a market research team yet, so let's just go by feel this time.	Bonita
100604		By feel? I can do that! I'll use the mask's power to see which one has the greatest potential!	{name}
100701		Now we have to think about casting. Everyone has had a moment where they thought, "They should have casted *that* actor." But don't just decide based on personal preference!	Bonita
100702		Hey, wake up… We only have one actor. Unless you're counting me as well. Were you worried I was going to cast myself?	{name}
100703		You're right… Sigh, I guess we don't have a choice. Let's cast our one and only actor!	Bonita
100704		Ha ha, though we only have one, our actor is an amazing one!	{name}
100801		Since we don't have enough actors, the other roles will have to be played by extras.	{name}
100802		To look on the bright side, we don't have to pay extras a fee.	Bonita
100803		Money isn't a big problem for us right now anyway. If it's possible, it's best not to scrimp on hiring good actors. Extras won't be able to make truly amazing films. (Besides, with that mask, I can see precisely how much each actor will contribute to a film…)	{name}
100804		Star actors sure are rich, huh. Of course I understand! Good actors and a good screenplay are essential for a great film!	{name}
100805		Star actors sure are rich, huh. Of course I understand! Good actors and a good screenplay are essential for a great film!	Bonita
100901		Alright, we're just about done shooting this movie! How do you feel?	Bonita
100902		I've never been through an entire shooting process before… Anyway, once this movie is showing, we need to get more actors as quickly as we can. We can't have an extra playing the other lead next time	{name}
100903		Done at last! I hope we'll be able to win some fans when it starts playing.	{actor}
100904		I've asked all the industry people I'm familiar to start screening our movie. Let's see how the box office goes!	Bonita
100905		I thought Megastar Films had already made me persona non grata. How did you manage convince them?	{name}
100906		Oh, I have my ways!	Bonita
100907		Hm… These reviews don't look too good…	Bonita
100908		You're right. Reputation has a big influence on box office sales. Most people still prefer watching spectacular movies wth good stories.	{name}
100909		As our fame grows, I'm sure we'll get better screenplays and—	{actor}
100910		And star actors! You'll have to work hard. Once you're a real A-list actor, you'll have your own reputation level and box office power!	Bonita
100911		Ths result isn't bad considering it's our first movie and that we only have one actor.	{name}
100912		That's true. Some people seem to like it quite a lot. I recognized a few people who came for a second watch!	Bonita
101001		I hope that one day our movies will be on all these billboards!	{name}
101002		Back when you were an actor, your movies were! We've only just begun, but I believe that we can do it.	Bonita
101003		Ha ha, that's the spirit! You're right, we'll definitely make it, no matter how Megastar Films tries to obstruct us…	{name}
101004		Of course we'll make it. You have me as your assistant after all! With my talent and your resources, we're synonymous with success!	Bonita
101005		Ha ha ha! So, what should we do next, my talented assistant?	{name}
101006		Well, our company is currently still in the early stages. We should start with basic on-the-ground marketing, slowly growing our influence and expanding our fanbase! We can also get more fund by working with sponsors.	Bonita
101007		Well said. Rome wasn't built in a day, as they say. One day we'll show Megastar Films that their little tricks don't work on us!	{name}
101008		That's right! Now, if you're done with the inspirational speech, let's get to work!	Bonita
101101		It says here in your report that you think that magical item is in {name}'s hands?	Kevin Huth
101102	Kevin Huth|n|CEO of Megastar Films. He controls the city's movie industry. Cold and ruthless, he will do anything to achieve his goals.		Kevin Huth
101103		That is correct. According to my investigations, it is highly likely that {name} has obtained the Star Mask. It explains why they suddenly decided to quit acting and start a movie company.	Janine Opare
101104	Janine Opare|n|A highly capable private detective who doesn't keep official records. She has been hired by Megastar Films to find out where the Star Mask is located.		Janine Opare
101105		That makes sense. Well then, I look forward to your next report.	Kevin Huth
101106		Ah… Strange… Why do I always feel like there's someone following me?	{name}
101107		You must be imagining things! You must have been traumatized by the paparazzi when you were an actor. Quick, let's finish this round of advertising!	Bonita
101201		Remember you said you felt like someone has been following you? Um… Maybe it wasn't just your imagination after all. I've noticed it too during our advertising activities.	Bonita
101202		It must be someone gathering information for Megastar Films. Well, since they care about us so much, it would be a shame to let them return emptyhanded!	{name}
101203		Huh? What do you mean? Don't tell me…	Bonita
101204		That's right! We're pretty much done advertising in these locations. It's time to head to the city center for a big roadshow! That'll give them something to talk about!	{name}
101205		Not a bad idea… That will greatly increase awareness of our company. At the same time, by putting ourselves in the spotlight will make it hard for Megastar Films to mess around.	Bonita
101206		We can also encourage local cinephiles to start a fan club! That way, we will keep on winning new fans!	{name}
101207		Good thinking! I'm impressed. Let's do that!	Bonita
101301		The roadshow was a success! With our encouragement, our fans have also started a fan club! We'll keep getting more and more fans from now on!	Bonita
101302		Yes, that went well, as expected. Let's have our headquarters here for the time being, then send our actors out as brand ambassadors. That way, our marketing will be much more effective.	{name}
101303		That's just what I was thinking! Using this method, we'll take over more and more cities. Sooner or later, our fans will cover the entire world!	Bonita
101401		Sometimes market trends are even harder to get than fashion trends…	{name}
101402		Ha ha ha, that's right! Sometimes a movie can be critically acclaimed but bomb at the box office, and sometimes terrible movies can be popular hits! Well, we can't control reviews or ticket sales, but we can make sure our movie is top notch!	Bonita
101403		Well said. Let's just do what we can to the best of our abilities. I believe audiences will respond appropriately.	{name}
101404		That's right, Mr Star Actor! Do your best!	Bonita
101405		Ha ha I've already put my past glories behind me. I'm going to rely on your help from now on!	{name}
101501		Well done! We've got our second city!	Bonita
