int	string
街道ID	街道名称
id	name
11001	Walk of Fame
11002	Universal Studios HW
11003	The Getty Center
11004	Times Square
11005	Statue of Liberty
11006	Central Park
11007	Metropolitan Museum
11008	Capitol Hill
11009	National Mall
11010	Lincoln Memorial
11011	Space Museum
11012	Art Institute
11013	Millennium Park
11014	Willis Tower
11015	Navy Pier Park
11016	Space Center Houston
11017	Rice University
11018	Hermann Park
11019	Art Museum Houston
11020	Independence Hall
11021	Upenn
11022	The Liberty Bell
11023	City Hall
11024	Museum of Art
11025	GM Center
11026	Detroit Downtown
11027	Detroit Art College
11028	Heidelberg Project
11029	Greektown
11030	Quincy Market
11031	Freedom Trail
11032	Charles River
11033	Boston Common
11034	Public Library
11035	Fishermans Wharf
11036	Golden Gate Bridge
11037	Lombard Street
11038	Palace of Fine Arts
11039	Alcatraz Island
11040	PITT
11041	Mount Washington
11042	CMU
11043	Point State Park
11044	Phipps Conservatory
11045	Georgia Aquarium
11046	CNN Center
11047	Olympic Park
11048	Margaret Museum
11049	Stone Mountain Park
11050	Swan House
11051	Hanauma Bay
11052	Diamond Head
11053	Waikiki Beach
11054	Kalakaua Ave
11055	Halona Blow Hole
11056	Iolani Palace
11057	Denali National Park
11058	Chena Hot Springs
11059	Glacier Bay Park
11060	National Park
11061	Museum of the North
11062	Mount McKinley
11063	Pike Market Place
11064	UW
11065	Seattle Space Needle
11066	Garden and Glass
11067	Kerry Park
11068	The Gum Wall
11069	Roebling Bridge
11070	Fountain Square
11071	Over the Rhine
11072	Bellevue Hill Park
11073	Findlay Market
11074	Ault Park
11075	RnR Hall of Fame
11076	Museum of Art
11077	West Side Market
11078	Cleveland Orchestra
11079	Edgewater Park
11080	Lake View Cemetery
11081	Auto-Aviation Museum
11082	The Gateway Arch
11083	City Museum
11084	UW
11085	SAaint Louis Zoo
11086	Expansion Memorial
11087	Memorial Park
11088	Missouri Garden
11089	Wisconsin University
11090	Madison City Council
11091	Lake Mendota
11092	Allen Gardens
11093	State Street
11094	Henry Vilas Zoo
11095	Wisconsin Capitol
11096	Ibirapuera Park
11097	St Paul Cathedral
11098	Independence Park
11099	St Paul Art Museum
11100	Liberdade
11101	Avenida Paulista
11102	Catholic Cathedral
11103	Desert Garden
11104	ASU
11105	Papago Park
11106	Instrument Museum
11107	Phoenix Zoo
11108	Chinese Center
11109	Nanshan Park
11110	Tropical Zoo
11111	Salem Wax Museum
11112	Salem Cemetery
11113	The Salem Museum
11114	Pirate Museum
11115	Nightmare Gallery
