int	string	string
ID	Key	值
id	key	value
1	LangSelectMsg	Effective after restarting the game
2	FunNoOpen	Coming soon
3	ButtonSelect	SELECT
4	ButtonOk	OK
5	ButtonCannel	CANCEL
6	ButtonYes	YES
7	ButtonNo	NO
8	Complete	Complete
9	Disable	Disabled
10	Lock	Locked
11	TitleTip	Tip
12	ErorNoInitProto	Initialize network
13	ErorRequestServerList	Request server list failed
14	ErorAccountFrozen	Account frozen
15	ErorAccountDropped	Account disabled
16	TipEnterRoleName	Enter your name
17	ErrorNameEmpty	Name is empty
18	ErrorNameUsed	Name already taken
19	ErrorHttpSendFail	Failed to send
20	HttpTimeOut	Time out! Current setting time is {0}
21	AlertTextBuyActor	Are you sure to spend {0} {1} to increase actor amount?
22	AlertTextScountActor	Are you sure you want to spend {0} {1} to recruit?
23	ToastTextItemNotEnough	Insufficient {0}
24	ToastTextItemNotEnough2	Insufficient {0} {1}
25	AfterToScountActor	Increase 1 searching time after {0}
26	AfterToClearNoseTimes	Our scout has already left work today, you can sent them out after {0}. |n| You can also spend one magnifier to do it now
27	ScountActor	Recruiting
28	ActorMax	Recruiting amount reached max
29	HideActorMax	Hidden actor amount reached max, you can update your company or Actor Department
30	DisHideAllActor	Can't hide all actor
31	DisHideActorInUse	Can't hide actor who's in filming
32	SureHideActor	Are you sure you want to hide {0}
33	ActorWillLeave	These actors will leave in {0}
34	ActorWillLeave1	Time Remaining:
35	SureResetActors	Are you sure you want to refresh?
36	CostToResetActors	Are you sure you want to spend magnifier to refresh?
37	ResetNose	Refresh
38	TalentText	Agency
39	HiddenText	Hide
40	TalentTimes	Recruitable
41	UnlockSkill	Actor reaches Lv.{0}
42	AlertNoseActor	Are you sure you want to spend {0} {1} to recruit?
43	SrcActorName	Oringinal Name: {0}
44	Lv	Lv.{0}
45	CanScountActorNums	Recruitable: {0}/{1}
46	CurNextLv	Lv.{0}/[color=#488fc1]Lv.{1}[/color]
47	UpgradeNeedGold	Upgrade costs: {0} coin
48	Upgrade	Upgrade
49	RemainTimes	Remaining: {0}/{1}
50	CanScountActor	Recruitable:
51	CanHideActorNums	Hidden {0}/{1}
52	ActorTrain	Train
53	ActorTabBase	Basic
54	ActorTabSkill	Skill
55	ActorTabAsset	Property
56	ActorTabExport	Adept
57	ActorTabAgent	Coach
58	PopularValue	Popularity
59	RewardTitle	Reward
60	HideActor	Hide actor
61	HideActorDesc	Hidden actor can't go work, you can activate them here
62	RenameForActor	Do you want to rename this actor?
63	Rename	OK
64	Sure	RECRUIT
65	Num	{0}
66	RenameDefault	OK
67	He	him
68	She	her
69	NewActorJoin	New actor signed!
70	NoseSuccess	Recruit Successed
71	SameActorJoin	Same name exist
72	SureUseDefaultName	Use original name?
73	RenameAnGoodName	Choose an unique name for {0}!
74	NameDisNull	Name is empty
75	Input1toNumChar	Enter 1-{0} characters
76	Input4toNumChar	Enter 4-{0} characters
77	NoseActor	Recruit
78	AliveAcotr	Are you sure you want to spend {0} {1} to revive this actor?
79	Hour	HR
80	Minute	MIN
81	Second	SEC
82	ActorRecoverToDealAsset	Converted into contract and property
83	NoForzen	No hidden actor
84	ChooseSendAssetNum	Choose amount of property you want to sent
85	GetAssetToGetProp	Once every {0}
86	LoyaltyText	Loyalty
87	NeedLoyalty	Requires loyalty Lv.{0}
88	LvUpMax	Reached max level
89	UpLvLimit	Raise max level
90	LvUpTo	{0}'s max level is raised from{1}→{2} now
91	Send	Send
92	ExpertStory	Adept Script
93	ExpertCharacter	Adept Character
94	ExpertType	Adept Type
95	SendAssetMax	Amount reached max
96	LvMax	Reached max level
97	SkillLvMaxTip	Reached max skill level
98	ExpCosts	Exp cost
99	SkillExpNotEnough	Insufficient skill exp
100	GetRandomTrainAttr	Increasing two attributes randomly
101	CompanyTodayTrain	Remaining：
102	ActorCanUseTrain	Available training times:
103	ActorAutoVisit	Auto-receive
104	ActorBreakToLv	This actor's max level is now {0}
105	CompanyTodayTrainMax	No training time left
106	ActorTrainMax	No training time left for this actor
107	TrainCompleteRightNow	Finish Now
108	HaveAgentCanComplete	Unlock after hiring a secretary
109	HaveAgentCanAutoRead	Unlock after hiring a secretary
110	AutoRead	Auto-approve
111	HaveAgentCanAutoPublicize	Unlock after hiring a secretary
112	TrainOpen	Need to occupy {0}
113	SkillOpen	Requires company Lv.{0}
114	AssetOpen	Requires company Lv. {0}
115	CompanySignAcotr	{0} signed a new actor!
116	ActorUpgradeAssetCount	Increase {0} to actor's max amount of property
117	Use	USE
118	AssetSendMax	Reached max amount
119	AssetSendMaxToExpend	Upgrade or use a loyalty medal to rise gift amount limit
120	AssetExpend	Increase max amount
121	AssetChooseCardNum	Select amount
122	TrainOpenLv	Requires actor Lv.{0}
123	AssetArtistUpgrade	Upgrade actor
124	AssetUseCard	Use loyalty medal
125	ActorSkillExp	Skill exp: {0}
126	age	Age
127	sex	Gender
128	country	Nationality
129	type	Type
130	OldName	Oringinal Name:
131	Level	Lv.
132	RenameTip	Do you want to give me a stage name?
133	DiamondTrain	Training via diamonds
134	DiamondMustBeMax	(will definitely gain best result)
135	PropertyTipMsg	You can resolve/compound property in warehouse
136	ClickAnyWhereToClose	Click anywhere to continue
137	Year	Year
138	Month	Month
139	Day	Date
140	MaxLevel	Max Level
141	SecondBuyArtistMsg	You already signed this actor, would you like to cost {0} {1} to sign contract again? (This contract will convert into contract and property)
142	RelieveArtist	Activate
143	FilmProficiencyTitle	Actor's proficiency
144	FilmSelectActorTitle	Select Actor
145	FilmCostViewTitle	Total Cost
146	PleaseSelectActor	Select Actor
147	ActorForFilmTitle	Actor 's fitness
148	FilmTypeSelectTitle	Select Type
149	CurMarketTip	Current Market Survey
150	FilmNoticeTitle	Select Activity
151	FilmSQViewTitle	Attributes
152	CinemaSelectionTitle	Select Theater
153	FeedBackTitle	Media Evalution
154	AudienceReputationTitle	Audience Evalution
155	SysTipTitle	System Notice
156	AllTempTip	Can't cast with extras only
157	NoStoryList	No script found
158	ChangeStoryName	Rename script
159	StoryNameLimit	Script name should be within {0}
160	SelectTypeNone	Select Type
161	NoticeScore	{0}
162	CostFree	Free
163	SYNTH	OK
164	Play	Play as:
165	NoAttAdd	No Attribution
166	NameLV	{0}|n|Lv.{1}
167	FilmActor	Play as: {0}
168	FilmProficiency	Proficiency Lv.{0}: +{1}
169	FilmAverage	Average: {0}
170	sexMan	Male
171	sexWomen	Female
172	sexChild	Child
173	TotalFilm	Total box-office: {0}
174	filmOverMarketTip1	Our movie's box-office increases {0}% due to current market favor, more than {1} audience like this story very much!
175	filmOverMarketTip2	and {0}% thinks {1} suits this story perfect
176	filmOverMarketTip3	There's more
177	filmOverMarketTip4	Now
178	filmJiesuanWin	Earning: |n|+ {0}%
179	filmJiesuanFail	Loss：|n|- {0}%
180	filmJiesuanRewardTip	Here're our rewards:
181	filmOverTip	Earnings have ended
182	guanzhuduValue	Attention: {0}
183	guanzhuduOpenTip	Unlock when attention reaches {0}
184	continueTip	We may get these rewards:
185	TimeLeftTip	Time Remaining:
186	EndingTitle	Max Reached
187	EndingTip	On showing movies reached limit
188	promotionBtn	RISE
189	gainEvaluationOver	Final earning: {0}
190	gainEvaluation	Earnings evalution: {0}/min
191	GZMax	Reached max level
192	CinemaSignTip	You didn't sign contract with this theater
193	NineToFiftyTip	Please note that you cannot film new movies 5 minutes before Oskar.
