int	string	string	string	string
ID	备注	UI编号	UI元件名称	值
id	comment	name	mz	value
1	Activity - ActivityMain	9qou8rs7sga10-n5_sga1	title	Title
2	Activity - ActivityMain	9qou8rs7sga10-n11_ac07	title	Activities
3	Activity - ActivitySeven	9qou8rs7sga12-n10_sga1	tip1	Event time:
4	Activity - ActivitySeven	9qou8rs7sga12-n11_sga1	tip2	Event intro:
5	Activity - ActivitySeven	9qou8rs7sga12-n13_sga1	tip2Val	New palyer can sign contract with [4 star] actor {Actor's name} by consume {0} diamonds during 10 days
6	Activity - ActivityTopItemBtn	9qou8rs7sga11-n3_sga1	title	Tip
7	Activity - ApplyLicensePanel	9qou8rs7vuzmf-n21_hh76	msgTitle	You can enjoy these privileges:
8	Activity - Dialog	9qou8rs7f9f11e-n9_hz3m	title	
9	Activity - LicenseReq	9qou8rs7ac07w-n8_ac07	tip1	License
10	Activity - Dialog	9qou8rs7c3b71e-n9_hz3m	title	History
11	Activity - LicenseReq	9qou8rs7ac07w-n9_ac07	tip2	License
12	Activity - Dialog	9qou8rs7s1hs1d-n9_hz3m	title	Everybody
13	Activity - LicenseReq	9qou8rs7ac07w-n10_ac07	tip3	License
14	Activity - LicenseReq	9qou8rs7ac07w-n13_ac07	okBtn	APPLY
15	Activity - SecretaryButton	9qou8rs7rrsj7-n16_hh76	title	Secretary
16	Activity - SecretaryCommon	9qou8rs7rrsj8-n3_hh76	n3	Click anywhere to continue
17	Activity - SecretaryPanel	9qou8rs7rrsjc-n10_hh76	talkMsg	At your service
18	Activity - SecretaryGiftButton	9qou8rs7rrsja-n14_hh76	title	BUY
19	Activity - SecretaryGiftPanel	9qou8rs7rrsjb-n4_hh76	title	Secretary Package
20	Activity - SecretaryGiftPanel	9qou8rs7rrsjb-n5_hh76	des	Hire secretary first
21	Activity - SecretaryPanel	9qou8rs7rrsjc-n21_hh76	msgTitle	You can enjoy these privileges:
22	Activity - SecretaryPanel	9qou8rs7rrsjc-n30_hh76	welfareBtn	Daily Gift
23	Activity - SecretaryPanel	9qou8rs7rrsjc-n13_hh76	tipmsg	Hired
24	Activity - SecretaryWelfareMsgItem	9qou8rs7rrsjd-n0_hh76	title	Daily Gift
25	Activity - SevenItem	9qou8rs7sga13-n2_sga1	dayTip	Day 1
26	Activity - SevenItem	9qou8rs7sga13-n3_sga1	okBtn	OK
