int	string	string
编号，只能在后面增加，不能修改编号，	功能名称	未解锁点击提示文字，（文字表示提示内容，0表示无）
id	name	touch_txt
3	Shoot	Requires Filming Studio
4	Actor	Requires Actor Department
5	Market	Requires Market Department
6	Warehouse	Requires Warehouse
21	Shop	0
22	Top-up	0
23	Routine	0
24	Welfare	0
25	Event	0
26	Super Idol	0
31	Settings	0
32	Mailbox	0
33	Chat	Requires block rank 2
41	Oskar	Requires Advertising Department
51	Produce	Requires Warehouse
52	Order	Requires Sales Department
53	Business	Requires Office Department
54	Fans	Requires Fan Relations
55	Conference	Requires Conference Room
61	Script	Requires Company reach lv.30
62	Theater	Requires block rank 2
63	Scriptwriter	Requires block rank 6
64	Actor list	Requires Company reach lv.10
65	Treasure	Requires block rank 7
71	Group	Requires block rank 3
72	Leader	0
73	Cooperate	Requires block rank 2
104	Leaderboard	0
1001	Stock	Requires company reach lv.20
1002	Produce	Requires Warehouse
1003	Order	Requires Street rank 2
2001	Shop	Requires Street rank 2
2002	First Top-up	0
2003	Celebrity Party	0
10001	Operate	0
10002	Manage	0
10003	Social	0
10004	Cooperate	Requires Block Rank 2
