int	string
id	效果说明
id	effect_des
100101	增加电影上映天数0天
100102	下映后的持续收益增幅1%
100201	增加电影上映天数1天
100202	下映后的持续收益增幅2%
100301	增加电影上映天数1天
100302	下映后的持续收益增幅3%
100401	增加电影上映天数2天
100402	下映后的持续收益增幅4%
100501	增加电影上映天数2天
100502	下映后的持续收益增幅5%
100601	增加电影上映天数3天
100602	下映后的持续收益增幅6%
100701	增加电影上映天数3天
100702	下映后的持续收益增幅7%
100801	增加电影上映天数4天
100802	下映后的持续收益增幅8%
100901	增加电影上映天数4天
100902	下映后的持续收益增幅9%
101001	增加电影上映天数5天
101002	下映后的持续收益增幅10%
101101	增加电影上映天数5天
101102	下映后的持续收益增幅11%
101201	增加电影上映天数6天
101202	下映后的持续收益增幅12%
101301	增加电影上映天数6天
101302	下映后的持续收益增幅13%
101401	增加电影上映天数7天
101402	下映后的持续收益增幅14%
101501	增加电影上映天数7天
101502	下映后的持续收益增幅15%
101601	增加电影上映天数8天
101602	下映后的持续收益增幅16%
101701	增加电影上映天数8天
101702	下映后的持续收益增幅17%
101801	增加电影上映天数9天
101802	下映后的持续收益增幅18%
101901	增加电影上映天数9天
101902	下映后的持续收益增幅19%
102001	增加电影上映天数10天
102002	下映后的持续收益增幅20%
102101	增加电影上映天数10天
102102	下映后的持续收益增幅21%
102201	增加电影上映天数11天
102202	下映后的持续收益增幅22%
102301	增加电影上映天数11天
102302	下映后的持续收益增幅23%
102401	增加电影上映天数12天
102402	下映后的持续收益增幅24%
102501	增加电影上映天数12天
102502	下映后的持续收益增幅25%
102601	增加电影上映天数13天
102602	下映后的持续收益增幅26%
102701	增加电影上映天数13天
102702	下映后的持续收益增幅27%
102801	增加电影上映天数14天
102802	下映后的持续收益增幅28%
102901	增加电影上映天数14天
102902	下映后的持续收益增幅29%
103001	增加电影上映天数15天
103002	下映后的持续收益增幅30%
103101	增加电影上映天数15天
103102	下映后的持续收益增幅31%
103201	增加电影上映天数16天
103202	下映后的持续收益增幅32%
103301	增加电影上映天数16天
103302	下映后的持续收益增幅33%
103401	增加电影上映天数17天
103402	下映后的持续收益增幅34%
103501	增加电影上映天数17天
103502	下映后的持续收益增幅35%
103601	增加电影上映天数18天
103602	下映后的持续收益增幅36%
103701	增加电影上映天数18天
103702	下映后的持续收益增幅37%
103801	增加电影上映天数19天
103802	下映后的持续收益增幅38%
