int	string
id	城市名称
id	name
1101	华盛顿
1102	纽约
1103	洛杉矶
1104	芝加哥
1105	休斯敦
1106	费城
1107	底特律
1108	波士顿
1109	旧金山
1110	匹兹堡
1111	亚特兰大
1112	檀香山
1113	阿拉斯加
1114	西雅图
1115	辛辛那提
1116	克利夫兰
1117	圣路易斯
1118	麦迪逊
1119	圣保罗
1120	菲尼克斯
1121	塞勒姆
1122	哥伦布
1123	达拉斯
1124	法兰克福
1125	夏威夷
1126	哥伦比亚
1127	杰克逊
1128	盐湖城
1129	迈阿密
1130	蒙哥马利
1131	奥斯汀
1132	堪萨斯城
1133	新奥尔良
1134	海伦娜
1135	拉斯维加斯
1136	巴尔的摩
1137	丹佛
1138	奥兰多
1139	塞班岛
1140	曼哈顿
1141	温哥华
1142	多伦多
1143	蒙特利尔
1144	魁北克
1145	维多利亚
1146	渥太华
1147	卡尔加里
1148	尼亚加拉
1149	黄刀镇
1150	惠斯勒
1151	埃德蒙顿
1152	金斯顿
1153	哈利法克斯
1154	基洛纳
1155	哈密尔顿
1156	温尼伯
1157	滑铁卢
1158	史密斯堡
1159	怀特霍斯
1160	约克区
1161	尼皮辛
1162	帕里桑德
1163	夏洛特顿
1164	中奥肯拿根
1165	皮尔区
1166	诺森伯兰
1167	蒂米斯卡明
1168	穆斯科卡
1169	锡姆科
1170	拉纳克
1171	格雷
1172	落基山
1173	贾斯珀
1174	莱姆顿
1175	达拉谟
1176	查塔姆-肯特
1177	萨斯卡通
1178	里贾纳
1179	穆斯乔
1180	艾伯特王子城
1181	悉尼
1182	墨尔本
1183	黄金海岸
1184	凯恩斯
1185	布里斯班
1186	珀斯
1187	堪培拉
1188	阿德莱德
1189	大堡礁
1190	大洋路
1191	霍巴特
1192	蓝山
1193	乌鲁鲁
1194	艾利海滩
1195	圣灵群岛
1196	拜伦湾
1197	达尔文
1198	汉密尔顿岛
1199	卧龙岗
1200	袋鼠岛
1201	道格拉斯港
1202	努萨
1203	昆士兰
1204	玛格丽特
1205	汤斯维尔
1206	布鲁姆
1207	库兰达
1208	麦带区
1209	库伦加塔
1210	芭萝莎
1211	阳光海岸
1212	坎贝尔港
1213	洛恩
1214	卡尔巴里
1215	棕榈湾
1216	摇篮山
1217	比吉诺
1218	吉朗
1219	阿波罗湾
1220	朗塞斯顿
1221	伦敦
1222	爱丁堡
1223	剑桥
1224	曼彻斯特
1225	牛津
1226	约克
1227	巴斯
1228	英国湖区
1229	伯明翰
1230	利物浦
1231	谢菲尔德
1232	怀特岛
1233	诺丁汉
1234	纽卡斯尔
1235	贝尔法斯特
1236	加的夫
1237	温莎
1238	布莱顿
1239	苏格兰高地
1240	格拉斯哥
1241	考文垂
1242	斯特拉特福
1243	康沃尔
1244	坎特伯雷
1245	南安普敦
1246	利兹
1247	威廉堡
1248	布里斯托
1249	格林尼治
1250	南莱克兰
1251	圣安德鲁斯
1252	北约克
1253	斯旺西
1254	莱斯特
1255	普利茅斯
1256	惠特比
1257	诺里奇
1258	朴次茅斯
1259	阿伯丁
1260	斯特灵
