int	string
id	内容
id	content
100101	让我们开始吧，我都迫不及待了
100201	好了，现在建电影院的空间已经足够了，让我们开始建造吧！
100202	看，可以建造电影院啦，快点开始吧！
100301	建摄影棚需要更大的空间，让我们先把顶层扩建吧~
100302	好了，现在建摄影棚的空间已经足够了，让我们开始建造吧！
100303	看，可以建造摄影棚啦，快点开始吧！
100401	开始拍摄电影吧
100402	联系了几个编剧，让我们先来看看剧本吧！
100403	编剧提供了三个剧本给我们，选择的时候，也别忘了考虑我们旗下的艺人是不是擅长这种类型的剧本喔。
100404	不如这次就拍这部吧！
100405	虽然现在暂时没得选，但是以后你在选择艺人时要注意他所擅长的领域，如果跟我们剧本里角色对应的话，对影片质量也是一种保障~
100406	到了该选择拍摄类型的时候了，如果拍摄类型与所选剧本题材相契合，也能进一步提升我们的影片质量喔。
100501	你可以在这里看到这部电影的持续收益情况哦~
100601	之前查看过电影的持续收益，现在我们可以收取它们啦~
100602	快点收取收益吧~
100701	建艺人教室需要更多空间，我们得先把顶层扩建一下~
100702	开始建造艺人教室吧，千里之行，始于足下~
100703	看，现在我们可以建造艺人教室啦，赶紧动工吧！
100801	让我们先打开艺人名单~
100802	现在我们可以呼叫公司的星探去帮我们发掘有潜力的艺人了！
100803	让星探开始探查有潜力的艺人吧！
100804	下面是目前可招募的艺人哦，选择一个心仪的艺人进行签约吧！
100901	让我们先打开艺人名单~
100902	选中一个艺人来升到5级~
100903	这里就可以为艺人进行升级啦！
101001	建市场部需要更多空间，我们得先把顶层扩建一下~
101002	开始建造市场部吧，让我们的公司进一步壮大~
101003	看，现在我们可以建造市场部啦，赶紧动工吧！
101101	先来看看我们的市场版图吧~
101102	
101103	
101104	从这里就可以进入街道开始宣传啦~
101105	这里就可以开始我们的宣传了哦~
101201	点击查看市场部信息~
101202	这里就可以升级市场部了哦~
101301	这里可以看到我们目前还在上映中的电影的持续收益情况~
101302	想提高电影的关注度，就需要耗费宣传册了哦~
101401	先来看看我们的市场版图吧~
101402	
101403	
101404	从这里就可以进入街道开始宣传啦~
101405	如果我们让旗下一名艺人来这里作为代言人进行宣传的话，就可以更快地完成这个街区的宣传了哦~
101406	好啦，代言人已经选好了，让我们开始吧~
101501	先来看看我们的市场版图吧~
101502	
101503	
101504	从这里就可以进入街道开始宣传啦~
101505	如果我们让旗下一名艺人来这里作为代言人进行宣传的话，就可以更快地完成这个街区的宣传了哦~
101506	好啦，代言人已经选好了，让我们开始吧~
101601	先来看看我们的市场版图吧~
101602	
101603	
101604	就在这里进行我们的路演吧！
101701	先来看看我们的市场版图吧~
101702	
101703	
101704	这样就可以占领这座城市啦！
101801	先来看看我们的市场版图吧~
101802	
101803	让我们选择已经占领的这座城市吧！
101804	这里就可以选择我们要派驻的形象大使了哦。
101901	这里可以看到我们目前还在上映中的电影的持续收益情况~
101902	目前我们就选这个城市就好啦~
101903	这样就可以切换到这座城市进行重点宣传了哦。
102001	这里可以看到我们目前还在上映中的电影的持续收益情况~
102002	想提高电影的关注度，就需要耗费宣传册了哦~
102101	让我们先打开艺人名单~
102102	选中一个艺人来升到5级~
102103	这里就可以为艺人进行升级啦！
102201	开始拍摄电影吧
102202	联系了几个编剧，让我们先来看看剧本吧！
102203	编剧提供了三个剧本给我们，选择的时候，也别忘了考虑我们旗下的艺人是不是擅长这种类型的剧本喔。
102204	不如这次就拍这部吧！
102205	虽然现在暂时没得选，但是以后你在选择艺人时要注意他所擅长的领域，如果跟我们剧本里角色对应的话，对影片质量也是一种保障~
102206	到了该选择拍摄类型的时候了，如果拍摄类型与所选剧本题材相契合，也能进一步提升我们的影片质量喔。
102301	建宣传部需要更多空间，我们得先把顶层扩建一下~
102302	开始建造宣传部吧，让我们的公司进一步壮大~
102303	看，现在我们可以建造宣传部啦，赶紧动工吧！
102401	先来看看我们的市场版图吧~
102402	
102403	
102404	进行路演之前，必须先把各街区的宣传完成哦~
102405	再接再厉，完成这座城市所有街区的宣传吧~
102406	再接再厉，完成这座城市所有街区的宣传吧~
102407	再接再厉，完成这座城市所有街区的宣传吧~
102408	点击这里进行路演
102501	先来看看我们的市场版图吧~
102502	
102503	
102504	这样就可以占领这座城市啦！
102601	先来看看我们的市场版图吧~
102602	
102603	让我们选择已经占领的这座城市吧！
102604	这里就可以选择我们要派驻的形象大使了哦。
102701	这里可以看到我们目前还在上映中的电影的持续收益情况~
102702	想提高电影的关注度，就需要耗费宣传册了哦~
102801	先来看看我们的市场版图吧~
102802	
102803	让我们选择已经占领的这座城市吧！
102804	这里就可以选择我们要派驻的形象大使了哦。
102901	之前查看过电影的持续收益，现在我们可以收取它们啦~
102902	快点收取收益吧~
103001	先来看看我们的市场版图吧~
103002	
103003	让我们选择已经占领的这座城市吧！
103004	我们可以定期来这里收取城市所产生的收益哦。
103101	让我们先打开艺人名单~
103102	选中一个艺人来升到5级~
103103	这里就可以为艺人进行升级啦！
103201	先来看看我们的市场版图吧~
103202	
103203	
103204	从这里就可以进入街道开始宣传啦~
103205	如果我们让旗下一名艺人来这里作为代言人进行宣传的话，就可以更快地完成这个街区的宣传了哦~
103301	建仓库需要更多空间，我们得先把顶层扩建一下~
103302	开始建造仓库吧，让我们的公司进一步壮大~
103303	看，现在我们可以建造仓库啦，赶紧动工吧！
103401	首先，让我们看一下经营情况~
103402	让我们看一下目前可以生产的周边吧~
103403	选择一条生产线开始生产吧~之后只要等待生产完成就可以啦。
103501	建销售部需要更多空间，我们得先把顶层扩建一下~
103502	开始建造销售部吧，让我们的公司进一步壮大~
103503	看，现在我们可以建造销售部啦，赶紧动工吧！
103601	点击查看摄影棚信息~
103602	这里就可以升级摄影棚了哦~
103701	建商务部需要更多空间，我们得先把顶层扩建一下~
103702	开始建造商务部吧，让我们的公司进一步壮大~
103703	看，现在我们可以建造商务部啦，赶紧动工吧！
103801	开始拍摄电影吧
103802	联系了几个编剧，让我们先来看看剧本吧！
103803	编剧提供了三个剧本给我们，选择的时候，也别忘了考虑我们旗下的艺人是不是擅长这种类型的剧本喔。
103804	不如这次就拍这部吧！
103805	虽然现在暂时没得选，但是以后你在选择艺人时要注意他所擅长的领域，如果跟我们剧本里角色对应的话，对影片质量也是一种保障~
103806	到了该选择拍摄类型的时候了，如果拍摄类型与所选剧本题材相契合，也能进一步提升我们的影片质量喔。
103901	首先，让我们看一下经营情况~
103902	这里能看到目前收到的订单哦。
103903	订单都有时间限制，过了时限客户就会放弃这笔订单了，这对我们可是损失，所以一定要及时处理！
103904	选择需要装箱的订单之后点一下就会自动装入需要数量的周边了哦，这样就可以完成这笔订单啦~
103905	选择需要装箱的订单之后点一下就会自动装入需要数量的周边了哦，这样就可以完成这笔订单啦~
103906	赶紧确认完成这笔订单吧~
104001	先来看看我们的市场版图吧~
104002	
104003	
104004	再接再厉，完成这座城市所有街区的宣传吧~
104005	再接再厉，完成这座城市所有街区的宣传吧~
104006	再接再厉，完成这座城市所有街区的宣传吧~
104007	就在这里进行我们的路演吧！
104008	这样就可以占领这座城市啦！
104101	先来看看我们的市场版图吧~
104102	
104103	让我们选择已经占领的这座城市吧！
104104	这里就可以选择我们要派驻的形象大使了哦。
104201	让我们先打开艺人名单~
104202	选中一个艺人来升到5级~
104203	这里就可以为艺人进行升级啦！
104301	先来看看我们的市场版图吧~
104302	
104303	
104304	再接再厉，完成这座城市所有街区的宣传吧~
104305	再接再厉，完成这座城市所有街区的宣传吧~
104306	再接再厉，完成这座城市所有街区的宣传吧~
104307	再接再厉，完成这座城市所有街区的宣传吧~
104308	就在这里进行我们的路演吧！
104309	这样就可以占领这座城市啦！
104401	建办公室需要更多空间，我们得先把顶层扩建一下~
104402	开始建造办公室吧，让我们的公司进一步壮大~
104403	看，现在我们可以建造办公室啦，赶紧动工吧！
104501	首先，让我们看一下经营情况~
104502	这里能看到目前需要处理的公务哦。
104503	你这个样子看上去还挺有Boss风范的嘛，哈哈
104601	之前查看过电影的持续收益，现在我们可以收取它们啦~
104602	快点收取收益吧~
104701	先来看看我们的市场版图吧~
104702	
104703	让我们选择已经占领的这座城市吧！
104704	我们可以定期来这里收取城市所产生的收益哦。
104801	首先，让我们看一下经营情况~
104802	让我们看一下目前可以生产的周边吧~
104803	选择一条生产线开始生产吧~之后只要等待生产完成就可以啦。
104901	建接待室需要更多空间，我们得先把顶层扩建一下~
104902	开始建造接待室吧，让我们的公司进一步壮大~
104903	看，现在我们可以建造接待室啦，赶紧动工吧！
105001	首先，让我们看一下经营情况~
105002	我们可以在这里接待粉丝哦~
105003	让我们找找看这位被粉丝指名的艺人跑哪去了吧~
200101	点击拍摄电影
200201	打开艺人界面
200202	选择可升级的艺人
200203	点击升级按钮
200301	打开艺人界面
200302	选择需要培养的艺人
200303	点击培养按钮
200401	打开艺人界面
200402	选择赠送礼物的艺人
200403	打开礼物界面
200404	赠送艺人礼物
200500	打开训练室
200501	打开训练室
200601	打开艺人界面
200602	选择需要升级技能的艺人
200603	打开技能界面
200604	升级艺人技能
200701	打开经营界面
200702	打开公务界面
200801	打开经营界面
200802	打开会议界面
200901	打开经营界面
200902	打开粉丝界面
201001	进入市场界面进行街道宣传
201101	进入市场界面领取城市收益
201201	打开排行榜
201202	点击前三名的祝贺按钮
201301	打开排行榜
201302	打开影片排行榜
201303	点击前三名的祝贺按钮
201401	打开排行榜
201402	打开街区
201403	领取奖励
201601	打开经营界面
201602	进入生产
201603	领取已完成的生产
201701	打开经营界面
201702	进入订单
201703	完成指定数量的订单
202001	向合作者赠送美元
202101	完成合作任务
202201	装填合作订单
999998	没有收到任何订单，先拍摄一部电影吧
999999	没有正在持续收益的电影，先拍摄一部电影吧
