int	string	string	string
ID|n|技能主ID*100+技能等级	英文名字	技能描述	英文效果文字
id	name	tips	effecttext
100101	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100102	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100103	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100104	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100105	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100106	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100107	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100108	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100109	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100110	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100111	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100112	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100113	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100114	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100115	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100116	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100117	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100118	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100119	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100120	吸金达人	当派遣演员去城市时,赚取金币速度[color=#FF8C00]+{0}%[/color]	
100201	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	
100202	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	
100203	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	
100204	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	
100205	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	
100206	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	
100207	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	
100208	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	
100209	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	
100210	能力超群	当派遣演员去执行生产时,该生产线的收益[color=#FF8C00]+{0}%[/color]	
