int	string	string	string
id|n|剧情组*100+顺序	界面内容|n|{name}主角名字	气泡内容|n|{city}=占领城市|n|{name}=玩家名称	半身像名字|n|{name}=玩家名称|n|{actor}=初始艺人名称
id	ui_content	content	name
100101		哟，你过来啦！这是按照你的要求买下的影院，我们的事业就要从这开始啦。看来你对这件事真的是认真的。	柏妮塔
100102	Bonita Fernandez|n|你演艺生涯中合作过多次的制片人，她已经受够了传统电影业的折磨，因为你提出想要改变整个电影制片业的规则而决心加入你的公司来帮助你		柏妮塔
100103		哈哈，那当然。我们的准备工作如何了？	{name}
100104		影院本身的设施都还能用，就是打扫可费了一番功夫呢~ 接下来就等你决定什么时候正式开业啦！	柏妮塔
100105		好的，辛苦你了。那我们这就开始吧！	{name}
100106		好，就等你这句话啦！	柏妮塔
100201		不过，有一个很现实的问题摆在我们面前...巨星影业知道了你的打算，已经要挟跟他们有合作关系的发行方都不能把影片交给我们放映，也不允许放我们摄制的电影。	柏妮塔
100202		呵，没事，既然这样，那我们就自己拍自己放。将来他们就得过来求我们把影片给他们去放映了！还好我当演员也攒下了不少积蓄，让我们开工吧！	{name}
100203		你还真是说做就做，不过我也就是看中这一点才跟着你干啦。那我们先把电影院建起来吧！	柏妮塔
100204		okay，那么电影院的建造就交给你来安排，我去负责招募我们的第一批演员。	{name}
100205		说到这个，我想既然巨星影业能做出让发行方不给我们上映影片的行径，肯定也给演员们都下了禁令吧。	柏妮塔
100206		这倒不是问题，我可没白在演艺圈待这么久。相信我，只要我们招来第一位演员，不久之后就会有越来越多的演员加入我们旗下了！	{name}
100301		好啦，你看，我们的第一个演员已经到啦！	{name}
100302		大明星果然厉害~嗯…我们的头号演员看起来是挺专业的样子。希望表现也能同样专业就行~那我们来看看电影院的建造吧！	柏妮塔
100401	传闻{name}公司,进军影视业		
100402		另外，我也联系了一些投资人，他们对你的新生意很感兴趣喔~ 所以也给了我们一笔启动资金，算是初始投资。	柏妮塔
100403		哈，还算他们有眼光嘛~	{name}
100404		他们还表示随着我们的发展会考虑追加投资喔，这方面的进展我也会及时提醒你的~	柏妮塔
100405		谢谢，真是太可靠啦~	{name}
100406		当然，毕竟我可是天下第一可靠的助手嘛~	柏妮塔
100407		哈哈哈确实~好啦，那我们就从拍第一部电影开始，相信我们迟早能打败巨星影业！	{name}
100408		别急，还差一步呢~ 我们摄影棚都还没建，你想怎么拍电影啊~	柏妮塔
100501		行了，演员就位，摄影棚也好了，让我们开始拍摄电影吧！	柏妮塔
100601		这几个剧本看起来都还不错，你觉得呢？	{name}
100602		不同的剧本有不同的受众类型，我们拍摄当然也要根据当前市场调查情况来进行选择。	柏妮塔
100603		不过，目前我们还没有自己的市场部，只能先凭直觉选一部了吧。	柏妮塔
100604		凭感觉？那就交给我吧~就借助面具的力量来看看哪个剧本的潜力最高好了！	{name}
100701		现在我们要开始考虑选角啦，虽说我们以前都有过诸如“这部戏要是换成某某某演肯定要好的多了”这种想法，我可要提醒你，别全凭个人喜好来决定喔！	柏妮塔
100702		你清醒一点…就算我想，我们现在也才只有一个艺人啊，难不成你想让我把我自己也算上？那你可不能说我偏袒自己啦~	{name}
100703		也是…诶，那没得挑了，直接让我们唯一的演员上吧！	柏妮塔
100704		哈哈，虽然目前只有一个，但我们这位唯一的演员可是很有爆发力的哦！	{name}
100801		我们现在旗下签约演员不够，所以剧本里其他角色只能先让临时演员顶一下了。	{name}
100802		往好的方面想，我们不用给临时演员付片酬。	柏妮塔
100803		虽然是这样，但目前对我们来说钱不是大问题。如果可能的话，这方面我们尽量不省钱。毕竟临时演员可没法让影片质量更上一层楼。	{name}
100804		（内心独白：况且，有了那个面具，每个演员能给电影各项属性做出多少贡献都一目了然…）	{name}
100805		果然是大明星不差钱~ 我当然明白啦，毕竟好剧本加好演员才能对影片质量有所保证嘛。	柏妮塔
100901		好啦，一部电影基本到现在就算拍摄完成了，感觉如何？	柏妮塔
100902		以前还真没完整体验过整个拍摄流程…不管怎么说，等这部电影上映我们要尽快招募更多艺人啦，至少下次另一位主角不能再用临时演员顶替了。	{name}
100903		终于杀青了，希望上映后能吸引来我们的第一批粉丝	{actor}
100904		我联系了几个业界的熟人让电影在他们的院线一起上映，看看票房怎么样吧！	柏妮塔
100905		还以为巨星影业跟所有院线打过招呼了呢。你怎么说服他们的？	{name}
100906		呵~我自有办法	柏妮塔
100907		嗯…这个口碑可有点儿不容乐观啊	柏妮塔
100908		确实，口碑对票房的影响还是很大的。大部分人还是更喜欢看大场面和好故事。	{name}
100909		等我们之后知名度越来越高，相信肯定会有越来越多的好剧本和——	{actor}
100910		和明星演员~ 你可要加油了，等你成为真正的一线演员，你就自带口碑和票房号召力啦。	柏妮塔
100911		这个成绩对于我们的第一部电影来说也不算太差，考虑到我们出演的正式演员也只有一个人。	{name}
100912		嗯…有部分观众应该还挺喜欢的，我看到有好几个二刷的面孔了。	柏妮塔
101001		真希望有一天大街上这些广告牌上铺天盖地都是我们公司拍得电影的消息。	{name}
101002		之前你还是演员的时候主演的片倒是有这种盛况呢。虽然我们现在算是从头开始，但是我相信我们能够再次书写不一样的成功！	柏妮塔
101003		哈哈，我真的很欣赏你这种乐观的态度~ 不过你说得对，我们一定能成功的。不管巨星影业打算如何阻扰我们…	{name}
101004		当然能成功，你也不看看你的助理我是什么人？我的才华加上你的资源那可是成功的等义词！	柏妮塔
101005		哈哈哈是，那么我们接下来该怎么做呢，我最有才华的助手大人？	{name}
101006		哼~目前我们公司还处于刚起步阶段，所以我们还是从最基础的地推开始，逐步扩大我们的影响力，一点点积攒粉丝吧~ 顺便还能通过合作商赞助之类的赚点资金呢。	柏妮塔
101007		说得对，毕竟罗马也不是一天建成的，总有一天我们要让巨星影业明白，就凭他们那些小伎俩是不可能打垮我们的。	{name}
101008		好啦~ 打完鸡血，还是脚踏实地开始工作吧~	柏妮塔
101101		你的报告里说，你认为【那件神器】是在{name}手上？	凯文
101102	凯文：巨星影业CEO，掌控着整个城市的电影行业，冷酷无情，为了达成自己的目的可以不择手段。		凯文
101103		没错。没有哪个人会突然做出这么重大的决定。根据我的调查，{name}很有可能已经得到了【星之面具】。如果有这么件神器在手，那做出这样的决定就理所当然了。	简妮
101104	简妮：没有正式档案记录的私家侦探，行事灵活，被巨星影业秘密雇佣，负责调查星之面具的下落。		简妮
101105		有道理。那么，我期待你的后续调查报告。	凯文
101106		诶…奇怪…总有种有人在背后看着我们的感觉？	{name}
101107		没有呀？是错觉吧？大明星是不是对狗仔队产生阴影啦~赶紧先完成我们的宣传吧！	柏妮塔
101201		还记得上次你说感觉有人在背后看着我们吗？嗯…也许不是你的错觉。这几次街区宣传活动下来我也注意到了。	柏妮塔
101202		估计就是巨星影业的人来打探情况的，既然他们这么关注我们，不给他们点能回去写报告的东西可就有点太对不起他们的辛苦了~	{name}
101203		嗯？你想怎么做…难道？	柏妮塔
