int	string
街道ID	街道名称
id	name
11001	星光大道
11002	环球影城
11003	盖蒂中心
11004	时代广场
11005	自由女神像
11006	中央公园
11007	大都会博物馆
11008	国会山
11009	国家广场
11010	林肯纪念堂
11011	航天博物馆
11012	芝加哥艺术馆
11013	千禧公园
11014	威利斯大厦
11015	海军码头公园
11016	太空中心
11017	莱斯大学
11018	赫曼公园
11019	美术馆
11020	独立宫
11021	宾夕法尼亚大学
11022	自由钟
11023	市政厅
11024	费城艺术博物馆
11025	通用汽车中心
11026	底特律市中心
11027	底特律艺术学院
11028	海德堡项目
11029	希腊镇
11030	昆西市场
11031	自由之路
11032	查尔斯河
11033	波士顿公园
11034	公共图书馆
11035	旧金山渔人码头
11036	金门大桥
11037	九曲花街
11038	美国艺术宫
11039	恶魔岛
11040	匹兹堡大学
11041	华盛顿山
11042	卡内基梅隆大学
11043	点州立公园
11044	菲普斯音乐学院
11045	乔治亚水族馆
11046	CNN中心
11047	百年奥林匹克公园
11048	玛格丽特博物馆
11049	石岭州立公园
11050	天鹅屋
11051	恐龙湾
11052	钻石山
11053	威基基海滩
11054	卡拉卡瓦大道
11055	哈鲁那喷泉口
11056	伊欧拉尼皇宫
11057	迪纳利国家公园
11058	切纳温泉
11059	冰川湾国家公园
11060	基奈峡湾国家公园
11061	北方极地博物馆
11062	麦金利山
11063	派克市场
11064	华盛顿大学
11065	太空针塔
11066	奇胡利玻璃艺术园
11067	凯瑞公园
11068	口香糖墙
11069	罗比林吊桥
11070	喷泉广场
11071	越莱茵河区
11072	贝尔维尤山公园
11073	芬德利市场
11074	奥尔特公园
11075	摇滚乐名人堂博物馆
11076	克利夫兰艺术博物馆
11077	西区市场
11078	克利夫兰管弦乐团
11079	埃奇沃特公园
11080	湖景公墓
11081	克劳福德汽车博物馆
11082	大拱门
11083	城市博物馆
11084	华盛顿大学
11085	圣路易斯动物园
11086	西进运动博物馆
11087	马尔科姆纪念公园
11088	密苏里植物园
11089	威斯康辛大学
11090	麦迪逊市政府
11091	曼多塔湖
11092	艾伦百年花园
11093	州府街
11094	亨利维拉斯动物园
11095	议会大厦
11096	伊比拉普艾拉公园
11097	圣保罗主教堂
11098	独立公园
11099	圣保罗美术馆
11100	东方街
11101	保利斯塔大道
11102	天主教大教堂
11103	沙漠植物园
11104	亚利桑那州立大学
11105	日落公园
11106	乐器博物馆
11107	凤凰城动物园
11108	中国文化中心
11109	南山公园
11110	热带动植物园
11111	塞勒姆蜡像馆
11112	塞勒姆老公墓
