int	string
编号	任务名称
id	name
1001	拍摄5部电影
1002	升级艺人10次
1003	培养艺人1次
1004	赠送艺人礼物10个
1005	让3名艺人完成技能训练
1006	升级艺人技能1次
1007	完成公务30次
1008	完成会议10次
1009	接见粉丝10次
1010	城市宣传20次
1011	领取城市收益5次
1012	祝贺总排行榜1次
1013	祝贺影片排行榜1次
1014	领取比赛礼包1次
1015	升级宝物1次
1016	领取10次生产
1017	完成10个订单
1018	领取影片持续收益3次
1019	用宣传册提升电影关注度5次
1020	向合作者赠送1次美元
1021	完成1个合作任务
1022	装填1次合作订单
1100	建造电影院
1101	建造摄影棚
1102	拍摄第1部电影
1103	查看电影持续收益
1104	领取1次电影持续收益
1105	建造艺人教室
1106	招募1个新艺人
1107	将1位艺人升到5级
1108	建造市场部
1109	在星光大道完成宣传
1110	将市场部升至2级
1111	累计提升1次电影关注度
1112	在环球影城放置代言人并完成宣传
1113	在盖蒂中心完成宣传
1114	顺利进行1次路演
1115	占领洛杉矶的市场
1116	在洛杉矶任命1位形象大使
1117	为1部电影选择重点宣传城市
1118	累计提升2次电影关注度
1119	将2位艺人升到5级
1120	拍摄第2部电影
1121	建造宣传部
1122	成功进行第2次路演
1123	占领纽约的市场
1124	在纽约任命1位形象大使
1125	累计提升3次电影关注度
1126	同时任命2位形象大使
1127	累计领取电影持续收益超过500美元
1128	领取1次城市经营收益
1129	将1位艺人升到10级
1130	在华盛顿的国会山完成宣传
1131	建造仓库
1132	进行生产
1133	建造销售部
1134	升级摄影棚
1135	建造商务部
1136	拍摄第3部电影
1137	完成订单
1138	占领华盛顿的市场
1139	同时任命3位形象大使
1140	将1位艺人升到20级
1141	占领芝加哥的市场
1142	建造办公室
1143	处理3次公务
1144	累计领取电影持续收益超过5000美元
1145	领取2次城市经营收益
1146	累计完成2次生产
1147	建造接待室
1148	接待1位粉丝
3101	解锁{0}个剧本
3102	解锁{0}个剧本
3103	解锁{0}个剧本
3104	解锁{0}个剧本
3105	解锁{0}个剧本
3106	解锁{0}个剧本
3107	解锁{0}个剧本
3108	解锁{0}个剧本
3109	解锁{0}个剧本
3110	解锁{0}个剧本
3201	解锁剧本的星级总计达到{0}个
3202	解锁剧本的星级总计达到{0}个
3203	解锁剧本的星级总计达到{0}个
3204	解锁剧本的星级总计达到{0}个
3205	解锁剧本的星级总计达到{0}个
3206	解锁剧本的星级总计达到{0}个
3207	解锁剧本的星级总计达到{0}个
3208	解锁剧本的星级总计达到{0}个
3209	解锁剧本的星级总计达到{0}个
3210	解锁剧本的星级总计达到{0}个
3301	完成{0}个剧本的挑战
3302	完成{0}个剧本的挑战
3303	完成{0}个剧本的挑战
3304	完成{0}个剧本的挑战
3305	完成{0}个剧本的挑战
3306	完成{0}个剧本的挑战
3307	完成{0}个剧本的挑战
3308	完成{0}个剧本的挑战
3309	完成{0}个剧本的挑战
3310	完成{0}个剧本的挑战
