int	string	string
ID	Key	值
id	key	value
1	LangSelectMsg	语言需要重启游戏才有效!
2	FunNoOpen	此功能暂未开放，敬请期待！
3	ButtonSelect	选择
4	ButtonOk	确定
5	ButtonCannel	取消
6	ButtonYes	是
7	ButtonNo	否
8	Complete	完成
9	Disable	没有开放
10	Lock	没解锁
11	TitleTip	提示
12	ErorNoInitProto	没有初始化网络
13	ErorRequestServerList	请求服务器列表失败
14	ErorAccountFrozen	账号被冻结
15	ErorAccountDropped	账号被停用
16	TipEnterRoleName	输入你的名称
17	ErrorNameEmpty	名字不能是空的
18	ErrorNameUsed	名称已经被使用
19	ErrorHttpSendFail	[Error] 发送请求失败
20	HttpTimeOut	网络超时! 当前设置的超时时间是{0}
21	AlertTextBuyActor	是否花费{0}{1}增加艺人数量
22	AlertTextScountActor	是否花费{0}{1} 探查艺人？
23	ToastTextItemNotEnough	{0}数量不足
24	ToastTextItemNotEnough2	数量不足，需要{0} {1}
25	AfterToScountActor	{0}后探查次数加1
26	AfterToClearNoseTimes	星探今天已下班，{0}后即可在派他出去。|n|也可消耗星探放大镜即刻派出
27	ScountActor	探查
28	ActorMax	艺人招募数量最大
29	HideActorMax	雪藏艺人数量达到最大，请升级公司等级或艺人教室等级
30	DisHideAllActor	无法雪藏全部艺人
31	DisHideActorInUse	无法雪藏正在使用的艺人
32	SureHideActor	是否确认雪藏{0}
33	ActorWillLeave	这些艺人将于{0}后离开
34	ActorWillLeave1	艺人剩余离开时间：
35	SureResetActors	是否重新探查艺人？
36	CostToResetActors	探查次数已用完是否花费星探放大镜
37	ResetNose	重新探查
38	TalentText	星探
39	HiddenText	雪藏
40	TalentTimes	探查次数
41	UnlockSkill	艺人等级达到{0}级
42	AlertNoseActor	是否花费{0}{1}招募
43	SrcActorName	原艺名：{0}
44	Lv	{0}级
45	CanScountActorNums	可招募：{0}/{1}
46	CurNextLv	等级：{0}/[color=#488fc1]{1}[/color]
47	UpgradeNeedGold	升级所需金币：{0}
48	Upgrade	升级
49	RemainTimes	剩余次数
50	CanScountActor	可招募：
51	CanHideActorNums	可雪藏{0}/{1}
52	ActorTrain	培养
53	ActorTabBase	基础
54	ActorTabSkill	技能
55	ActorTabAsset	资产
56	ActorTabExport	擅长
57	ActorTabAgent	助理
58	PopularValue	人气值
59	RewardTitle	奖励
60	HideActor	雪藏艺人
61	HideActorDesc	被雪藏的艺人无法工作，您可以在这里重新启用艺人
62	RenameForActor	给{0}起一个艺名吧？
63	Rename	改名
64	Sure	确定
65	Num	{0}个
66	RenameDefault	改名
67	He	他
68	She	她
69	NewActorJoin	新的艺人加入公司
70	NoseSuccess	招募成功
71	SameActorJoin	已有同名艺人
72	SureUseDefaultName	确认使用默认名字？
73	RenameAnGoodName	给{0}取个好名字吧
74	NameDisNull	名字不能为空
75	Input1toNumChar	输入1到{0}个字符
76	Input4toNumChar	输入4到{0}个字符
77	NoseActor	招募
78	AliveAcotr	是否确认花费{0}{1}复活该艺人
79	Hour	小时
80	Minute	分
81	Second	秒
82	ActorRecoverToDealAsset	已转化为艺人合同和艺人资产
83	NoForzen	[没有雪藏的艺人]
84	ChooseSendAssetNum	选择要赠送的资产数量
85	GetAssetToGetProp	每得到{0}个即可
86	LoyaltyText	忠诚度
87	NeedLoyalty	需要忠诚度{0}级
88	LvUpMax	等级达到最大
89	UpLvLimit	提高等级上限
90	LvUpTo	{0} 等级上限 {1} → {2}
91	Send	赠送
92	ExpertStory	擅长的剧本
93	ExpertCharacter	擅长的角色
94	ExpertType	擅长的类型
95	SendAssetMax	赠送数量达到上限
96	LvMax	等级已满
97	SkillLvMaxTip	技能等级已满，无法继续升级
98	ExpCosts	经验消耗
99	SkillExpNotEnough	技能经验不足
100	GetRandomTrainAttr	随机获取两种属性提升
101	CompanyTodayTrain	公司今日培养次数：
102	ActorCanUseTrain	艺人可用培训次数:
103	ActorAutoVisit	自动接待
104	ActorBreakToLv	该艺人等级限制突破到{0}
105	CompanyTodayTrainMax	公司今日培养次数达到上限
106	ActorTrainMax	艺人培养次数达到上限
107	TrainCompleteRightNow	立即完成培养
108	HaveAgentCanComplete	拥有终身秘书可立即完成
109	HaveAgentCanAutoRead	拥有终身秘书可自动批阅
110	AutoRead	自动批阅
111	HaveAgentCanAutoPublicize	拥有终身秘书可自动宣传
112	TrainOpen	艺人培养需先占领{0}
113	SkillOpen	艺人技能需要公司等级{0}
114	AssetOpen	艺人资产需要公司等级{0}
115	CompanySignAcotr	{0}签约了新艺人
116	ActorUpgradeAssetCount	艺人资产上限增加{0}
117	Use	使用
118	AssetSendMax	赠送数量已达上限
119	AssetSendMaxToExpend	该艺人无法收下更多礼物了，可以通过提升艺人等级或使用忠诚奖章增加上限?
120	AssetExpend	增加赠送上限
121	AssetChooseCardNum	选择需要使用忠诚奖章的数量
122	TrainOpenLv	艺人等级达到{0}级开放
123	AssetArtistUpgrade	艺人升级
124	AssetUseCard	使用忠诚奖章
125	ActorSkillExp	技能经验:{0}
126	age	年龄
127	sex	性别
128	country	国籍
129	type	类型
130	OldName	原艺名：
131	Level	等级:
132	RenameTip	老板，要给我重新起个艺名吗?
133	DiamondTrain	钻石培养
134	DiamondMustBeMax	(钻石培养必然获得最大值)
135	PropertyTipMsg	在仓库可分解高星资产，或者用低星资产合成。
136	ClickAnyWhereToClose	点击任意位置关闭界面
137	Year	年
138	Month	月
139	Day	日
140	MaxLevel	满级
141	SecondBuyArtistMsg	您已经拥有此艺人了，是花费{0}{1}再次招募？(会转换得到该艺人的合同和资产)
142	RelieveArtist	启用
143	FilmProficiencyTitle	艺人熟练度展示
144	FilmSelectActorTitle	艺人选择
145	FilmCostViewTitle	薪酬统计
146	PleaseSelectActor	点击选择演员
147	ActorForFilmTitle	艺人契合
148	FilmTypeSelectTitle	请选择本次拍摄的类型
149	CurMarketTip	当前市场情况
150	FilmNoticeTitle	通告选择
151	FilmSQViewTitle	杀青属性对比
152	CinemaSelectionTitle	院线选择
153	FeedBackTitle	媒体评分
154	AudienceReputationTitle	观众口碑
155	SysTipTitle	系统提示
156	AllTempTip	不能全部使用临时演员
157	NoStoryList	未发现任何剧本，请稍候再试
158	ChangeStoryName	修改剧本名称
159	StoryNameLimit	剧本名称{0}个字符
160	SelectTypeNone	请选择类型
161	NoticeScore	{0}分
162	CostFree	free
163	SYNTH	选择
164	Play	Play:
165	NoAttAdd	不加属性
166	NameLV	{0}|n|LV.{1}
167	FilmActor	饰：{0}
168	FilmProficiency	熟练度{0}级： + {1}
169	FilmAverage	同档电影平均 {0}
170	sexMan	男
171	sexWomen	女
172	sexChild	儿童
173	TotalFilm	总票房：{0}
174	filmOverMarketTip1	当前市场喜好导致 {0}% 票房提升，有超过 {1}% 的观众非常喜欢这个故事！
175	filmOverMarketTip2	有 {0}% 还认为 {1} 电影非常适合此故事！
176	filmOverMarketTip3	There're more
177	filmOverMarketTip4	Now.
178	filmJiesuanWin	盈利：|n|+ {0}%
179	filmJiesuanFail	亏损：|n|- {0}%
180	filmJiesuanRewardTip	通过拍摄这部电影，我们获得以下奖励：
181	filmOverTip	收益已结束
182	guanzhuduValue	关注度：{0}
183	guanzhuduOpenTip	关注度{0}级解锁
184	continueTip	可能获得以下物品：
185	TimeLeftTip	剩余时间：
186	EndingTitle	正在运营的电影已满
187	EndingTip	最多只能有5部持续收益的电影
188	promotionBtn	提升
