int	string	string
编号，只能在后面增加，不能修改编号，	功能名称	未解锁点击提示文字，（文字表示提示内容，0表示无）
id	name	touch_txt
3	拍摄	需要建造摄影棚
4	艺人	需要建造艺人教室
5	市场	需要建造市场部
6	仓库	需要建造仓库
21	商城	0
22	充值	0
23	日常	0
24	福利	0
25	活动	0
26	超级偶像	0
31	设置	0
32	邮箱	0
33	聊天	需要达到街区2档
41	奥斯卡	需要建造宣传部
51	生产	需要建造仓库
52	订单	需要建造销售部
53	公务	需要建造办公室
54	粉丝	需要建造接待室
55	会议	需要建造会议室
61	剧本	需要公司到达30级
62	院线	需要达到街区2档
63	编剧	需要达到街区6档
64	艺人名录	需要公司到达10级
65	宝物	需要达到街区7档
71	集团	需要达到街区3档
72	领袖	0
73	合作	需要达到街区2档
104	排行榜	0
1001	股票	需要公司等级达到20级
1002	生产	需要建立仓库
1003	订单	需要到达街区2档
2001	商店	需要到达街区2档
2002	首充	0
2003	明星派对	0
10001	经营	0
10002	管理	0
10003	社交	0
10004	合作	需要达到街区2档
