int	string
id	效果说明
id	effect_des
100101	0 day(s) added to movie's showing time
100102	Movie earnings increased by  1%
100201	1 day(s) added to movie's showing time
100202	Movie earnings increased by  2%
100301	1 day(s) added to movie's showing time
100302	Movie earnings increased by  3%
100401	2 day(s) added to movie's showing time
100402	Movie earnings increased by  4%
100501	2 day(s) added to movie's showing time
100502	Movie earnings increased by  5%
100601	3 day(s) added to movie's showing time
100602	Movie earnings increased by  6%
100701	3 day(s) added to movie's showing time
100702	Movie earnings increased by  7%
100801	4 day(s) added to movie's showing time
100802	Movie earnings increased by  8%
100901	4 day(s) added to movie's showing time
100902	Movie earnings increased by  9%
101001	5 day(s) added to movie's showing time
101002	Movie earnings increased by  10%
101101	5 day(s) added to movie's showing time
101102	Movie earnings increased by  11%
101201	6 day(s) added to movie's showing time
101202	Movie earnings increased by  12%
101301	6 day(s) added to movie's showing time
101302	Movie earnings increased by  13%
101401	7 day(s) added to movie's showing time
101402	Movie earnings increased by  14%
101501	7 day(s) added to movie's showing time
101502	Movie earnings increased by  15%
101601	8 day(s) added to movie's showing time
101602	Movie earnings increased by  16%
101701	8 day(s) added to movie's showing time
101702	Movie earnings increased by  17%
101801	9 day(s) added to movie's showing time
101802	Movie earnings increased by  18%
101901	9 day(s) added to movie's showing time
101902	Movie earnings increased by  19%
102001	10 day(s) added to movie's showing time
102002	Movie earnings increased by  20%
102101	10 day(s) added to movie's showing time
102102	Movie earnings increased by  21%
102201	11 day(s) added to movie's showing time
102202	Movie earnings increased by  22%
102301	11 day(s) added to movie's showing time
102302	Movie earnings increased by  23%
102401	12 day(s) added to movie's showing time
102402	Movie earnings increased by  24%
102501	12 day(s) added to movie's showing time
102502	Movie earnings increased by  25%
102601	13 day(s) added to movie's showing time
102602	Movie earnings increased by  26%
102701	13 day(s) added to movie's showing time
102702	Movie earnings increased by  27%
102801	14 day(s) added to movie's showing time
102802	Movie earnings increased by  28%
102901	14 day(s) added to movie's showing time
102902	Movie earnings increased by  29%
103001	15 day(s) added to movie's showing time
103002	Movie earnings increased by  30%
103101	15 day(s) added to movie's showing time
103102	Movie earnings increased by  31%
103201	16 day(s) added to movie's showing time
103202	Movie earnings increased by  32%
103301	16 day(s) added to movie's showing time
103302	Movie earnings increased by  33%
103401	17 day(s) added to movie's showing time
103402	Movie earnings increased by  34%
103501	17 day(s) added to movie's showing time
