int	string	string	string
id|n|剧情组*100+顺序	界面内容|n|{name}主角名字	气泡内容|n|{city}=占领城市|n|{name}=玩家名称	半身像名字|n|{name}=玩家名称|n|{actor}=初始艺人名称
id	ui_content	content	name
100101			
100102			
100103			
100104			
100105			
100106			
100201			
100202			
100203			
100204			
100205			
100206			
100301			
100302			
100401			
100402			
100403			
100404			
100405			
100406			
100407			
100408			
100501			
100601			
100602			
100603			
100604			
100701			
100702			
100703			
100704			
100801			
100802			
100803			
100804			
100805			
100901			
100902			
100903			
100904			
100905			
100906			
100907			
100908			
100909			
100910			
100911			
100912			
101001			
101002			
101003			
101004			
101005			
101006			
101007			
101008			
101101			
101102			
101103			
101104			
101105			
101106			
101107			
101201			
101202			
101203			
101204			
101205			
101206			
101207			
101301			
101302			
101303			
101401			
101402			
101403			
101404			
101405			
101501			
101502			
101503			
101504			
101601			
101602			
101603			
101604			
101701			
101702			
101703			
101704			
101705			
101706			
101707			
101708			
101801			
101802			
101803			
101804			
101805			
101806			
101807			
101808			
101809			
101810			
101901			
101902			
101903			
101904			
101905			
101906			
101907			
101908			
101909			
101910			
101911			
101912			
101913			
102001			
102002			
102003			
102004			
102005			
102006			
102007			
102008			
102009			
102101			
102102			
102103			
102104			
102105			
102201			
102202			
102203			
102204			
102205			
102301			
102302			
102303			
102304			
102305			
102306			
102307			
102401			
102402			
102403			
102404			
102405			
102406			
102407			
102408			
102501			
102502			
102503			
102504			
102601			
102602			
102603			
102701			
102702			
102703			
102704			
102705			
102801			
102802			
102803			
102804			
102805			
102806			
102807			
102808			
102809			
102901			
102902			
102903			
102904			
102905			
102906			
102907			
102908			
103001			
103002			
103003			
103004			
103005			
103006			
103007			
103008			
103101			
103102			
103103			
103104			
103105			
103106			
103107			
103201			
103202			
103203			
103204			
103301			
103302			
103303			
103304			
103305			
103306			
103307			
103401			
103402			
103403			
103404			
103501			
103502			
103503			
103504			
103601			
103602			
103603			
103701			
103702			
103703			
103704			
103705			
103706			
103801			
103802			
103803			
103804			
103805			
103806			
103901			
103902			
103903			
103904			
103905			
103906			
104001			
104002			
104003			
104004			
104005			
104006			
104101			
104102			
104103			
104104			
104105			
104106			
104201			
104202			
104203			
104204			
104301			
104302			
104303			
104304			
104305			
104401			
104402			
104403			
104404			
104405			
104406			
104501			
104502			
104503			
104504			
104505			
104601			
104602			
104603			
104604			
104701			
104702			
104703			
104704			
104705			
104801			
104802			
104803			
104804			
104805			
104901			
104902			
104903			
104904			
104905			
105001			
105002			
105003			
105004			
105005			
105101			
105102			
105103			
105104			
105105			
105106			
105201			
105202			
105203			
105301			
105302			
105303			
105304			
105305			
105401			
105402			
105403			
105404			
105405			
105406			
105501			
105502			
105503			
105504			
200101			
200102			
200201			
200202			
200203			
200204			
200205			
200301			
200302			
200303			
200304			
200401			
200402			
200403			
200404			
200405			
200406			
200407			
999901			
