int	string	string
ID	Key	值
id	key	value
1	LangSelectMsg	
2	FunNoOpen	
3	ButtonSelect	
4	ButtonOk	
5	ButtonCannel	
6	ButtonYes	
7	ButtonNo	
8	Complete	
9	Disable	
10	Lock	
11	TitleTip	
12	ErorNoInitProto	
13	ErorRequestServerList	
14	ErorAccountFrozen	
15	ErorAccountDropped	
16	TipEnterRoleName	
17	ErrorNameEmpty	
18	ErrorNameUsed	
19	ErrorHttpSendFail	
20	HttpTimeOut	
21	AlertTextBuyActor	
22	AlertTextScountActor	
23	ToastTextItemNotEnough	
24	ToastTextItemNotEnough2	
25	AfterToScountActor	
26	AfterToClearNoseTimes	
27	ScountActor	
28	ActorMax	
29	HideActorMax	
30	DisHideAllActor	
31	DisHideActorInUse	
32	SureHideActor	
33	ActorWillLeave	
34	ActorWillLeave1	
35	SureResetActors	
36	CostToResetActors	
37	ResetNose	
38	TalentText	
39	HiddenText	
40	TalentTimes	
41	UnlockSkill	
42	AlertNoseActor	
43	SrcActorName	
44	Lv	
45	CanScountActorNums	
46	CurNextLv	
47	UpgradeNeedGold	
48	Upgrade	
49	RemainTimes	
50	CanScountActor	
51	CanHideActorNums	
52	ActorTrain	
53	ActorTabBase	
54	ActorTabSkill	
55	ActorTabAsset	
56	ActorTabExport	
57	ActorTabAgent	
58	PopularValue	
59	RewardTitle	
60	HideActor	
61	HideActorDesc	
62	RenameForActor	
63	Rename	
64	Sure	
65	Num	
66	RenameDefault	
67	He	
68	She	
69	NewActorJoin	
70	NoseSuccess	
71	SameActorJoin	
72	SureUseDefaultName	
73	RenameAnGoodName	
74	NameDisNull	
75	Input1toNumChar	
76	Input4toNumChar	
77	NoseActor	
78	AliveAcotr	
79	Hour	
80	Minute	
81	Second	
82	ActorRecoverToDealAsset	
83	NoForzen	
84	ChooseSendAssetNum	
85	GetAssetToGetProp	
86	LoyaltyText	
87	NeedLoyalty	
88	LvUpMax	
89	UpLvLimit	
90	LvUpTo	
91	Send	
92	ExpertStory	
93	ExpertCharacter	
94	ExpertType	
95	SendAssetMax	
96	LvMax	
97	SkillLvMaxTip	
98	ExpCosts	
99	SkillExpNotEnough	
100	GetRandomTrainAttr	
101	CompanyTodayTrain	
102	ActorCanUseTrain	
103	ActorAutoVisit	
104	ActorBreakToLv	
105	CompanyTodayTrainMax	
106	ActorTrainMax	
107	TrainCompleteRightNow	
108	HaveAgentCanComplete	
109	HaveAgentCanAutoRead	
110	AutoRead	
111	HaveAgentCanAutoPublicize	
112	TrainOpen	
113	SkillOpen	
114	AssetOpen	
115	CompanySignAcotr	
116	ActorUpgradeAssetCount	
117	Use	
118	AssetSendMax	
119	AssetSendMaxToExpend	
120	AssetExpend	
121	AssetChooseCardNum	
122	TrainOpenLv	
123	AssetArtistUpgrade	
124	AssetUseCard	
125	ActorSkillExp	
126	age	
127	sex	
128	country	
129	type	
130	OldName	
131	Level	
132	RenameTip	
133	DiamondTrain	
134	DiamondMustBeMax	
135	PropertyTipMsg	
136	ClickAnyWhereToClose	
137	Year	
138	Month	
139	Day	
140	MaxLevel	
141	SecondBuyArtistMsg	
142	RelieveArtist	
143	FilmProficiencyTitle	
144	FilmSelectActorTitle	
145	FilmCostViewTitle	
146	PleaseSelectActor	
147	ActorForFilmTitle	
148	FilmTypeSelectTitle	
149	CurMarketTip	
150	FilmNoticeTitle	
151	FilmSQViewTitle	
152	CinemaSelectionTitle	
153	FeedBackTitle	
154	AudienceReputationTitle	
155	SysTipTitle	
156	AllTempTip	
157	NoStoryList	
158	ChangeStoryName	
159	StoryNameLimit	
160	SelectTypeNone	
161	NoticeScore	
162	CostFree	
163	SYNTH	
164	Play	
165	NoAttAdd	
166	NameLV	
167	FilmActor	
168	FilmProficiency	
169	FilmAverage	
170	sexMan	
171	sexWomen	
172	sexChild	
173	TotalFilm	
174	filmOverMarketTip1	
175	filmOverMarketTip2	
176	filmOverMarketTip3	
177	filmOverMarketTip4	
178	filmJiesuanWin	
179	filmJiesuanFail	
180	filmJiesuanRewardTip	
181	filmOverTip	
182	guanzhuduValue	
183	guanzhuduOpenTip	
184	continueTip	
185	TimeLeftTip	
186	EndingTitle	
187	EndingTip	
188	promotionBtn	
189	gainEvaluationOver	
190	gainEvaluation	
191	GZMax	
192	CinemaSignTip	
193	NineToFiftyTip	
194	NineToFiftyFiveTip	
195	FilmLongTime	
196	FilmKouBei	
197	ActivityTitle	
198	WelfTitle	
199	NoGetReward	
200	GetReward	
201	Secretary_DailyGiftTitle	
202	Secretary_NeedBuySecretary	
203	Secretary_GetRewardDailySecretary	
204	Secretary_AlreadyPurchased	
205	Buy	
206	SureBuy	
207	Buyed	
208	Secretary_GetWelfare	
209	CooperateTaskType10	
210	StoryRemainFindTime	
211	CooperateTaskType11	
212	CooperateTaskType12	
213	CooperateTaskType13	
214	CooperateTaskType14	
215	CooperateTaskType15	
216	CooperateTaskType20	
217	CooperateTaskType30	
218	CooperateTaskType40	
219	CooperateTaskType50	
220	CooperateTaskType60	
221	CooperateTaskType70	
222	CooperateTaskType80	
223	CooperateTaskType90	
224	CooperateTaskType100	
225	CooperateTaskProgress	
226	CooperateReceiveBtn	
227	CooperateassistBtn	
228	CooperategetBtn	
229	CooperateassitingText	
230	CooperateHaveTaskText	
231	CooperationApplyTitle	
232	CooperationremindTip	
233	CooperationrefuseBtn	
234	CooperationreceiveBtn	
235	CooperationApplyTip	
236	CooperationEndTitle	
237	CooperationEndTip1	
238	CooperationEndTip2	
239	CooperationMainPanelTitle	
240	Cooperationtext1	
241	Cooperationtext2	
242	Cooperationtext3	
243	Cooperationremind	
244	Cooperationintro	
245	CooperationinviteBtn1	
246	CooperationinviteBtn2	
247	CooperationdisinviteBtn	
248	CooperationMainPanelTip1	
249	CooperationMainPanelTip2	
250	CooperationMainPanelID	
251	CooperationRealtionshipTitle	
252	CooperationRealtionshipTip	
253	CooperationRealtionshiprelieveBtn	
254	CooperationGiveRewardDollar	
255	CooperationGiveRewardGold	
256	Floor	
257	BuildFloor	
258	BuildUpgrade	
259	BuildUpgrade_UBB	
260	CompanyLevel	
261	BuildEffect	
262	BuildLevelEffect	
263	BuildLevelup	
264	BuildConfirm	
265	BuildLevel	
266	BuildFloorAlert	
267	BuildTitle	
268	ActorExperciseExpedite	
269	BuildFloorFailLevel	
270	BuildFloorFailCity	
271	BuildActorRoomTalentNpc	
272	BuildActorRoomTrainerNpc	
273	LincenceMax	
274	ArtistDicUITitle	
275	ArtistDicUInotHired	
276	ArtistDicUIStar	
277	ArtistDicUICountry	
278	ArtistDicUISex	
279	ArtistDicUIAge	
280	ArtistDicUIShow	
281	ArtistDicUIDefName	
282	ArtistDicUIHowHave	
283	ArtistDicUIPinglun	
284	ArtistDicUINoActor	
285	ArtistDicUINoPinglun	
286	ArtistDicUIPinglunTitle	
287	PlayerUpgradeGetAward	
288	PlayerSelfSignature	
289	PlayerSignature	
290	ItemHave	
291	PlayerInfoTab0	
292	PlayerInfoTab1	
293	PlayerInfoTab2	
294	PlayerInfoTab3	
295	PlayerInfoTab4	
296	PlayerInfoTabHome_Rank0	
297	PlayerInfoTabHome_Rank1	
298	PlayerInfoTabHome_Rank2	
299	PlayerInfoTabHome_Rank3	
300	PlayerInfoTabHome_Rank4	
301	PlayerInfoTabHome_Rank5	
302	PlayerInfoTabCareer_Rank0	
303	PlayerInfoTabCareer_Rank1	
