int	string	string
ID	Key	值
id	key	value
1	LangSelectMsg	
2	FunNoOpen	
3	ButtonSelect	
4	ButtonOk	
5	ButtonCannel	
6	ButtonYes	
7	ButtonNo	
8	Complete	
9	Disable	
10	Lock	
11	TitleTip	
12	ErorNoInitProto	
13	ErorRequestServerList	
14	ErorAccountFrozen	
15	ErorAccountDropped	
16	TipEnterRoleName	
17	ErrorNameEmpty	
18	ErrorNameUsed	
19	ErrorHttpSendFail	
20	HttpTimeOut	
21	AlertTextBuyActor	
22	AlertTextScountActor	
23	ToastTextItemNotEnough	
24	ToastTextItemNotEnough2	
25	AfterToScountActor	
26	AfterToClearNoseTimes	
27	ScountActor	
28	ActorMax	
29	HideActorMax	
30	DisHideAllActor	
31	DisHideActorInUse	
32	SureHideActor	
33	ActorWillLeave	
34	ActorWillLeave1	
35	SureResetActors	
36	CostToResetActors	
37	ResetNose	
38	TalentText	
39	HiddenText	
40	TalentTimes	
41	UnlockSkill	
42	AlertNoseActor	
43	CanScountActorNums	
44	SrcActorName	
45	Lv	
46	CurNextLv	
47	UpgradeNeedGold	
48	Upgrade	
49	RemainTimes	
50	CanScountActor	
51	CanHideActorNums	
52	ActorTrain	
53	ActorTabBase	
54	ActorTabSkill	
55	ActorTabAsset	
56	ActorTabExport	
57	ActorTabAgent	
58	PopularValue	
59	HideActor	
60	HideActorDesc	
61	RenameForActor	
62	Rename	
63	Sure	
64	Num	
65	RenameDefault	
66	He	
67	She	
68	NewActorJoin	
69	Input1toNumChar	
70	NoseSuccess	
71	SameActorJoin	
72	SureUseDefaultName	
73	RenameAnGoodName	
74	NameDisNull	
75	Input4toNumChar	
76	NoseActor	
77	AliveAcotr	
78	Hour	
79	Minute	
80	Second	
81	ActorRecoverToDealAsset	
82	NoForzen	
83	ChooseSendAssetNum	
84	GetAssetToGetProp	
85	NeedLoyalty	
86	LvUpMax	
87	UpLvLimit	
88	LvUpTo	
89	Send	
90	ExpertStory	
91	ExpertCharacter	
92	ExpertType	
93	SendAssetMax	
94	LvMax	
95	SkillLvMaxTip	
96	ExpCosts	
97	SkillExpNotEnough	
98	GetRandomTrainAttr	
99	CompanyTodayTrain	
100	ActorCanUseTrain	
101	ActorAutoVisit	
102	ActorBreakToLv	
103	CompanyTodayTrainMax	
104	ActorTrainMax	
105	TrainCompleteRightNow	
106	HaveAgentCanComplete	
107	HaveAgentCanAutoRead	
108	HaveAgentCanAutoPublicize	
109	TrainOpen	
110	SkillOpen	
111	AssetOpen	
112	TrainOpenLv	
113	CompanySignAcotr	
114	ActorUpgradeAssetCount	
115	Use	
116	AssetSendMax	
117	AssetSendMaxToExpend	
118	AssetExpend	
119	AssetChooseCardNum	
120	AssetArtistUpgrade	
121	AssetUseCard	
122	ActorSkillExp	
123	age	
124	sex	
125	country	
126	type	
127	OldName	
128	Level	
129	RenameTip	
130	DiamondTrain	
131	DiamondMustBeMax	
132	PropertyTipMsg	
133	ClickAnyWhereToClose	
134	FilmProficiencyTitle	
135	FilmSelectActorTitle	
136	FilmCostViewTitle	
137	PleaseSelectActor	
138	ActorForFilmTitle	
139	FilmTypeSelectTitle	
140	CurMarketTip	
141	FilmNoticeTitle	
142	FilmSQViewTitle	
143	CinemaSelectionTitle	
144	FeedBackTitle	
145	AudienceReputationTitle	
146	SysTipTitle	
147	AllTempTip	
148	NoStoryList	
149	ChangeStoryName	
150	StoryNameLimit	
151	SelectTypeNone	
152	NoticeScore	
153	CostFree	
154	SYNTH	
155	Play	
156	NoAttAdd	
157	NameLV	
158	FilmActor	
159	FilmProficiency	
160	FilmAverage	
161	sexMan	
162	sexWomen	
163	sexChild	
164	TotalFilm	
165	filmOverMarketTip1	
166	filmOverMarketTip2	
167	filmOverMarketTip3	
168	filmOverMarketTip4	
169	filmJiesuanWin	
170	filmJiesuanFail	
171	filmJiesuanRewardTip	
172	filmOverTip	
173	guanzhuduValue	
174	continueTip	
175	TimeLeftTip	
176	EndingTitle	
177	EndingTip	
178	promotionBtn	
179	gainEvaluationOver	
180	gainEvaluation	
181	GZMax	
182	CinemaSignTip	
183	NineToFiftyTip	
184	NineToFiftyFiveTip	
185	FilmLongTime	
186	FilmKouBei	
187	ActivityTitle	
188	WelfTitle	
189	NoGetReward	
190	GetReward	
191	Secretary_DailyGiftTitle	
192	Secretary_NeedBuySecretary	
193	Secretary_GetRewardDailySecretary	
194	Secretary_AlreadyPurchased	
195	Buy	
196	SureBuy	
197	Buyed	
198	Secretary_GetWelfare	
199	CooperateTaskType10	
200	CooperateTaskType11	
201	CooperateTaskType12	
202	CooperateTaskType13	
203	StoryRemainFindTime	
204	CooperateTaskType14	
205	CooperateTaskType15	
206	CooperateTaskType20	
207	CooperateTaskType30	
208	CooperateTaskType40	
209	CooperateTaskType50	
210	CooperateTaskType60	
211	CooperateTaskType70	
212	CooperateTaskType80	
213	CooperateTaskType90	
214	CooperateTaskType100	
215	CooperateTaskProgress	
216	CooperateReceiveBtn	
217	CooperateassistBtn	
218	CooperategetBtn	
219	CooperateassitingText	
220	CooperateHaveTaskText	
221	CooperationApplyTitle	
222	CooperationremindTip	
223	CooperationrefuseBtn	
224	CooperationreceiveBtn	
225	CooperationApplyTip	
226	CooperationEndTitle	
227	CooperationEndTip1	
228	CooperationEndTip2	
229	CooperationMainPanelTitle	
230	Cooperationtext1	
231	Cooperationtext2	
232	Cooperationtext3	
233	Cooperationremind	
234	Cooperationintro	
235	CooperationinviteBtn1	
236	CooperationinviteBtn2	
237	CooperationdisinviteBtn	
238	CooperationMainPanelTip1	
239	CooperationMainPanelTip2	
240	CooperationMainPanelID	
241	CooperationRealtionshipTitle	
242	CooperationRealtionshipTip	
243	CooperationRealtionshiprelieveBtn	
244	CooperationGiveRewardDollar	
245	CooperationGiveRewardGold	
246	Floor	
247	BuildFloor	
248	BuildUpgrade	
249	BuildUpgrade_UBB	
250	CompanyLevel	
251	BuildEffect	
252	BuildLevelEffect	
253	BuildLevelup	
254	BuildConfirm	
255	BuildLevel	
256	BuildFloorAlert	
257	BuildTitle	
258	ActorExperciseExpedite	
259	BuildFloorFailLevel	
260	BuildFloorFailCity	
261	BuildActorRoomTalentNpc	
262	BuildActorRoomTrainerNpc	
263	LincenceMax	
264	ArtistDicUITitle	
265	ArtistDicUInotHired	
266	ArtistDicUIStar	
267	ArtistDicUICountry	
268	ArtistDicUISex	
269	ArtistDicUIAge	
270	ArtistDicUIShow	
271	ArtistDicUIDefName	
272	ArtistDicUIHowHave	
273	ArtistDicUIPinglun	
274	ArtistDicUINoActor	
275	ArtistDicUINoPinglun	
276	ArtistDicUIPinglunTitle	
277	PlayerUpgradeGetAward	
278	PlayerInfoTab0	
279	PlayerInfoTab1	
280	PlayerInfoTab2	
281	PlayerInfoTab3	
282	PlayerInfoTab4	
283	PlayerInfoTabHome_Rank0	
284	PlayerInfoTabHome_Rank1	
285	PlayerInfoTabHome_Rank2	
286	PlayerInfoTabHome_Rank3	
287	PlayerInfoTabHome_Rank4	
288	PlayerInfoTabHome_Rank5	
289	PlayerInfoTabCareer_Rank0	
290	PlayerInfoTabCareer_Rank1	
291	PlayerInfoTabCareer_Rank2	
292	PlayerInfoTabCareer_Rank3	
293	PlayerInfoTabCareer_Rank4	
294	PlayerInfoTabCareer_Rank5	
295	PlayerInfoTabCareer_Rank6	
296	PlayerInfoTabCareer_Rank7	
