int	string	string	string	string
ID	备注	UI编号	UI元件名称	值
id	comment	name	mz	value
1	Activity - ActivityMain	9qou8rs7sga10-n5_sga1	title	
2	Activity - ActivitySeven	9qou8rs7sga12-n10_sga1	tip1	
3	Activity - ActivitySeven	9qou8rs7sga12-n11_sga1	tip2	
4	Activity - ActivitySeven	9qou8rs7sga12-n13_sga1	tip2Val	
5	Activity - ActivityTopItemBtn	9qou8rs7sga11-n3_sga1	title	
6	Activity - SecretaryButton	9qou8rs7rrsj7-n16_hh76	title	
7	Activity - SecretaryCommon	9qou8rs7rrsj8-n3_hh76	n3	
8	Activity - SecretaryGiftButton	9qou8rs7rrsja-n14_hh76	title	
9	Activity - SecretaryGiftPanel	9qou8rs7rrsjb-n4_hh76	title	
10	Activity - SecretaryGiftPanel	9qou8rs7rrsjb-n5_hh76	des	
11	Activity - SecretaryPanel	9qou8rs7rrsjc-n10_hh76	talkMsg	
12	Activity - SecretaryPanel	9qou8rs7rrsjc-n21_hh76	msgTitle	
13	Activity - SecretaryPanel	9qou8rs7rrsjc-n30_hh76	welfareBtn	
14	Activity - SecretaryPanel	9qou8rs7rrsjc-n13_hh76	tipmsg	
15	Activity - SecretaryWelfareMsgItem	9qou8rs7rrsjd-n0_hh76	title	
16	Activity - SevenItem	9qou8rs7sga13-n2_sga1	dayTip	
17	Activity - SevenItem	9qou8rs7sga13-n3_sga1	okBtn	
18	Activity - SevenItem	9qou8rs7sga13-n6_sga1	waitTip	
19	Activity - SignItem	9qou8rs7pytu6-n6_pytu	day	
20	Activity - SignPanel	9qou8rs7pytu5-n1_tvvq	okBtn	
21	Activity - SignPanel	9qou8rs7pytu5-n3_lrcq	nextTip	
22	Activity - WelfareMain	9qou8rs7rrsje-n4_hh76	title	
23	Bag - ActorItem	wdrb9z06n9f05-n111_qz6z	title	
24	Bag - BagItemInfo	wdrb9z06n9f00-n80_ow2j	labItem	
25	Bag - BagItemInfo	wdrb9z06n9f00-n81_ow2j	txtName	
26	Bag - BagItemInfo	wdrb9z06n9f00-n82_ow2j	txtInfo	
27	Bag - BagItemInfo	wdrb9z06n9f00-n85_ow2j	btnSale	
28	Bag - BagItemInfo	wdrb9z06n9f00-n86_ow2j	btnUse	
29	Bag - BagItemInfo	wdrb9z06n9f00-n114_7yfc	btnInfo	
